类型,索引,替换目标,文本值(繁中）
card_config,130193,name,魚妖
card_config,130194,name,魚妖
card_config,130195,name,魚妖
card_config,130196,name,魚妖
card_config,140011,name,沙鼠
card_config,140012,name,沙鼠
card_config,140013,name,沙鼠
card_config,140014,name,沙鼠
card_config,140015,name,沙鼠
card_config,140021,name,蘑菇怪
card_config,140022,name,蘑菇怪
card_config,140023,name,蘑菇怪
card_config,140024,name,蘑菇怪
card_config,140025,name,蘑菇怪
card_config,140031,name,火雞
card_config,140032,name,火雞
card_config,140033,name,火雞
card_config,140034,name,火雞
card_config,140035,name,火雞
card_config,140041,name,奶油蝙蝠
card_config,140042,name,奶油蝙蝠
card_config,140043,name,奶油蝙蝠
card_config,140044,name,奶油蝙蝠
card_config,140045,name,奶油蝙蝠
card_config,140046,name,奶油蝙蝠
card_config,140051,name,花樹精
card_config,140052,name,花樹精
card_config,140053,name,花樹精
card_config,140054,name,花樹精
card_config,140055,name,花樹精
card_config,140056,name,花樹精
card_config,140061,name,狼蛛
card_config,140062,name,狼蛛
card_config,140063,name,狼蛛
card_config,140064,name,狼蛛
card_config,140065,name,狼蛛
card_config,140066,name,狼蛛
card_config,140071,name,鱷魚熊
card_config,140072,name,鱷魚熊
card_config,140073,name,鱷魚熊
card_config,140074,name,鱷魚熊
card_config,140075,name,鱷魚熊
card_config,140076,name,鱷魚熊
card_config,140077,name,鱷魚熊
card_config,140081,name,福洛克
card_config,140082,name,福洛克
card_config,140083,name,福洛克
card_config,140084,name,福洛克
card_config,140085,name,福洛克
card_config,140086,name,福洛克
card_config,140087,name,福洛克
card_config,140091,name,庫庫坎
card_config,140092,name,庫庫坎
card_config,140093,name,庫庫坎
card_config,140094,name,庫庫坎
card_config,140095,name,庫庫坎
card_config,140096,name,庫庫坎
card_config,140097,name,庫庫坎
card_config,140098,name,庫庫坎
card_config,140101,name,電鰻
card_config,140102,name,電鰻
card_config,140103,name,電鰻
card_config,140104,name,電鰻
card_config,140105,name,電鰻
card_config,140106,name,電鰻
card_config,140111,name,貝利肯
card_config,140112,name,貝利肯
card_config,140113,name,貝利肯
card_config,140114,name,貝利肯
card_config,140115,name,貝利肯
card_config,140116,name,貝利肯
card_config,140117,name,貝利肯
card_config,140121,name,劍齒虎
card_config,140122,name,劍齒虎
card_config,140123,name,劍齒虎
card_config,140124,name,劍齒虎
card_config,140125,name,劍齒虎
card_config,140126,name,劍齒虎
card_config,140127,name,劍齒虎
card_config,140131,name,夜鯊
card_config,140132,name,夜鯊
card_config,140133,name,夜鯊
card_config,140134,name,夜鯊
card_config,140135,name,夜鯊
card_config,140136,name,夜鯊
card_config,140137,name,夜鯊
card_config,140141,name,烏賊噴射者
card_config,140142,name,烏賊噴射者
card_config,140143,name,烏賊噴射者
card_config,140144,name,烏賊噴射者
card_config,140145,name,烏賊噴射者
card_config,140146,name,烏賊噴射者
card_config,140147,name,烏賊噴射者
card_config,140148,name,烏賊噴射者
card_config,140151,name,王子蘑菇
card_config,140152,name,王子蘑菇
card_config,140153,name,王子蘑菇
card_config,140154,name,王子蘑菇
card_config,140155,name,王子蘑菇
card_config,140156,name,王子蘑菇
card_config,140157,name,王子蘑菇
card_config,140158,name,王子蘑菇
card_config,140161,name,鎧蛛
card_config,140162,name,鎧蛛
card_config,140163,name,鎧蛛
card_config,140164,name,鎧蛛
card_config,140165,name,鎧蛛
card_config,140171,name,恢復蘑菇
card_config,140172,name,恢復蘑菇
card_config,140173,name,恢復蘑菇
card_config,140174,name,恢復蘑菇
card_config,140175,name,恢復蘑菇
card_config,140181,name,機警的火雞
card_config,140182,name,機警的火雞
card_config,140183,name,機警的火雞
card_config,140184,name,機警的火雞
card_config,140185,name,機警的火雞
card_config,140186,name,機警的火雞
card_config,140191,name,尖叫電鰻
card_config,140192,name,尖叫電鰻
card_config,140193,name,尖叫電鰻
card_config,140194,name,尖叫電鰻
card_config,140195,name,尖叫電鰻
card_config,140196,name,尖叫電鰻
card_config,149018,name,沙鼠王
card_config,150011,name,石甲蟲
card_config,150012,name,石甲蟲
card_config,150013,name,石甲蟲
card_config,150014,name,石甲蟲
card_config,150015,name,石甲蟲
card_config,150021,name,布羅格洛吉特
card_config,150022,name,布羅格洛吉特
card_config,150023,name,布羅格洛吉特
card_config,150024,name,布羅格洛吉特
card_config,150025,name,布羅格洛吉特
card_config,150031,name,一堆粘稠物
card_config,150032,name,一堆粘稠物
card_config,150033,name,一堆粘稠物
card_config,150034,name,一堆粘稠物
card_config,150035,name,一堆粘稠物
card_config,150041,name,熔岩軟泥
card_config,150042,name,熔岩軟泥
card_config,150043,name,熔岩軟泥
card_config,150044,name,熔岩軟泥
card_config,150045,name,熔岩軟泥
card_config,150046,name,熔岩軟泥
card_config,150051,name,瘋牛
card_config,150052,name,瘋牛
card_config,150053,name,瘋牛
card_config,150054,name,瘋牛
card_config,150055,name,瘋牛
card_config,150056,name,瘋牛
card_config,150061,name,大骨頭
card_config,150062,name,大骨頭
card_config,150063,name,大骨頭
card_config,150064,name,大骨頭
card_config,150065,name,大骨頭
card_config,150066,name,大骨頭
card_config,150071,name,侍僧
card_config,150072,name,侍僧
card_config,150073,name,侍僧
card_config,150074,name,侍僧
card_config,150075,name,侍僧
card_config,150076,name,侍僧
card_config,150077,name,侍僧
card_config,150081,name,惡魔侏儒
card_config,150082,name,惡魔侏儒
card_config,150083,name,惡魔侏儒
card_config,150084,name,惡魔侏儒
card_config,150085,name,惡魔侏儒
card_config,150086,name,惡魔侏儒
card_config,150087,name,惡魔侏儒
card_config,150091,name,瑪斯卡拉德
card_config,150092,name,瑪斯卡拉德
card_config,150093,name,瑪斯卡拉德
card_config,150094,name,瑪斯卡拉德
card_config,150095,name,瑪斯卡拉德
card_config,150096,name,瑪斯卡拉德
card_config,150097,name,瑪斯卡拉德
card_config,150098,name,瑪斯卡拉德
card_config,150101,name,天空蜉蝣
card_config,150102,name,天空蜉蝣
card_config,150103,name,天空蜉蝣
card_config,150104,name,天空蜉蝣
card_config,150105,name,天空蜉蝣
card_config,150106,name,天空蜉蝣
card_config,150111,name,地牢師傅
card_config,150112,name,地牢師傅
card_config,150113,name,地牢師傅
card_config,150114,name,地牢師傅
card_config,150115,name,地牢師傅
card_config,150116,name,地牢師傅
card_config,150117,name,地牢師傅
card_config,150118,name,地牢師傅
card_config,150121,name,巨鼠
card_config,150122,name,巨鼠
card_config,150123,name,巨鼠
card_config,150124,name,巨鼠
card_config,150125,name,巨鼠
card_config,150126,name,巨鼠
card_config,150127,name,巨鼠
card_config,150131,name,火焰
card_config,150132,name,火焰
card_config,150133,name,火焰
card_config,150134,name,火焰
card_config,150135,name,火焰
card_config,150136,name,火焰
card_config,150137,name,火焰
card_config,150141,name,藍龍
card_config,150142,name,藍龍
card_config,150143,name,藍龍
card_config,150144,name,藍龍
card_config,150145,name,藍龍
card_config,150146,name,藍龍
card_config,150147,name,藍龍
card_config,150148,name,藍龍
card_config,150151,name,遊靈
card_config,150152,name,遊靈
card_config,150153,name,遊靈
card_config,150154,name,遊靈
card_config,150155,name,遊靈
card_config,150156,name,遊靈
card_config,150157,name,遊靈
card_config,150161,name,奧術垃圾
card_config,150162,name,奧術垃圾
card_config,150163,name,奧術垃圾
card_config,150164,name,奧術垃圾
card_config,150165,name,奧術垃圾
card_config,150171,name,大鉗蟲
card_config,150172,name,大鉗蟲
card_config,150173,name,大鉗蟲
card_config,150174,name,大鉗蟲
card_config,150175,name,大鉗蟲
card_config,150181,name,搗蛋小鬼
card_config,150182,name,搗蛋小鬼
card_config,150183,name,搗蛋小鬼
card_config,150184,name,搗蛋小鬼
card_config,150185,name,搗蛋小鬼
card_config,150186,name,搗蛋小鬼
card_config,150191,name,瘋侏儒
card_config,150192,name,瘋侏儒
card_config,150193,name,瘋侏儒
card_config,150194,name,瘋侏儒
card_config,150195,name,瘋侏儒
card_config,150196,name,瘋侏儒
card_config,21001,name,便服
card_config,210011,name,便服
card_config,210012,name,便服
card_config,22001,name,便服
card_config,220011,name,便服
card_config,220012,name,便服
card_config,23001,name,便服
card_config,230011,name,便服
card_config,230012,name,便服
card_config,24001,name,便服
card_config,240011,name,便服
card_config,240012,name,便服
card_config,25001,name,便服
card_config,250011,name,便服
card_config,250012,name,便服
card_config,26001,name,便服
card_config,260011,name,便服
card_config,260012,name,便服
card_config,21002,name,金屬帽子
card_config,210021,name,金屬帽子
card_config,210022,name,金屬帽子
card_config,22002,name,金屬帽子
card_config,220021,name,金屬帽子
card_config,220022,name,金屬帽子
card_config,23002,name,金屬帽子
card_config,230021,name,金屬帽子
card_config,230022,name,金屬帽子
card_config,24002,name,金屬帽子
card_config,240021,name,金屬帽子
card_config,240022,name,金屬帽子
card_config,25002,name,金屬帽子
card_config,250021,name,金屬帽子
card_config,250022,name,金屬帽子
card_config,26002,name,金屬帽子
card_config,260021,name,金屬帽子
card_config,260022,name,金屬帽子
card_config,21003,name,尖刺護腿
card_config,210031,name,尖刺護腿
card_config,210032,name,尖刺護腿
card_config,22003,name,尖刺護腿
card_config,220031,name,尖刺護腿
card_config,220032,name,尖刺護腿
card_config,23003,name,尖刺護腿
card_config,230031,name,尖刺護腿
card_config,230032,name,尖刺護腿
card_config,24003,name,尖刺護腿
card_config,240031,name,尖刺護腿
card_config,240032,name,尖刺護腿
card_config,25003,name,尖刺護腿
card_config,250031,name,尖刺護腿
card_config,250032,name,尖刺護腿
card_config,26003,name,尖刺護腿
card_config,260031,name,尖刺護腿
card_config,260032,name,尖刺護腿
card_config,21004,name,騎士手套
card_config,210041,name,騎士手套
card_config,210042,name,騎士手套
card_config,22004,name,騎士手套
card_config,220041,name,騎士手套
card_config,220042,name,騎士手套
card_config,23004,name,騎士手套
card_config,230041,name,騎士手套
card_config,230042,name,騎士手套
card_config,24004,name,騎士手套
card_config,240041,name,騎士手套
card_config,240042,name,騎士手套
card_config,25004,name,騎士手套
card_config,250041,name,騎士手套
card_config,250042,name,騎士手套
card_config,26004,name,騎士手套
card_config,260041,name,騎士手套
card_config,260042,name,騎士手套
card_config,21005,name,毛皮甲
card_config,210051,name,毛皮甲
card_config,210052,name,毛皮甲
card_config,22005,name,毛皮甲
card_config,220051,name,毛皮甲
card_config,220052,name,毛皮甲
card_config,23005,name,毛皮甲
card_config,230051,name,毛皮甲
card_config,230052,name,毛皮甲
card_config,24005,name,毛皮甲
card_config,240051,name,毛皮甲
card_config,240052,name,毛皮甲
card_config,25005,name,毛皮甲
card_config,250051,name,毛皮甲
card_config,250052,name,毛皮甲
card_config,26005,name,毛皮甲
card_config,260051,name,毛皮甲
card_config,260052,name,毛皮甲
card_config,22006,name,盜賊斗篷
card_config,220061,name,盜賊斗篷
card_config,220062,name,盜賊斗篷
card_config,23006,name,盜賊斗篷
card_config,230061,name,盜賊斗篷
card_config,230062,name,盜賊斗篷
card_config,24006,name,盜賊斗篷
card_config,240061,name,盜賊斗篷
card_config,240062,name,盜賊斗篷
card_config,25006,name,盜賊斗篷
card_config,250061,name,盜賊斗篷
card_config,250062,name,盜賊斗篷
card_config,26006,name,盜賊斗篷
card_config,260061,name,盜賊斗篷
card_config,260062,name,盜賊斗篷
card_config,21007,name,巡遊手套
card_config,210071,name,巡遊手套
card_config,210072,name,巡遊手套
card_config,22007,name,巡遊手套
card_config,220071,name,巡遊手套
card_config,220072,name,巡遊手套
card_config,23007,name,巡遊手套
card_config,230071,name,巡遊手套
card_config,230072,name,巡遊手套
card_config,24007,name,巡遊手套
card_config,240071,name,巡遊手套
card_config,240072,name,巡遊手套
card_config,25007,name,巡遊手套
card_config,250071,name,巡遊手套
card_config,250072,name,巡遊手套
card_config,26007,name,巡遊手套
card_config,260071,name,巡遊手套
card_config,260072,name,巡遊手套
card_config,22008,name,視覺手套
card_config,220081,name,視覺手套
card_config,220082,name,視覺手套
card_config,23008,name,視覺手套
card_config,230081,name,視覺手套
card_config,230082,name,視覺手套
card_config,24008,name,視覺手套
card_config,240081,name,視覺手套
card_config,240082,name,視覺手套
card_config,26008,name,視覺手套
card_config,260081,name,視覺手套
card_config,260082,name,視覺手套
card_config,21009,name,鎖子甲
card_config,210091,name,鎖子甲
card_config,210092,name,鎖子甲
card_config,22009,name,鎖子甲
card_config,220091,name,鎖子甲
card_config,220092,name,鎖子甲
card_config,23009,name,鎖子甲
card_config,230091,name,鎖子甲
card_config,230092,name,鎖子甲
card_config,24009,name,鎖子甲
card_config,240091,name,鎖子甲
card_config,240092,name,鎖子甲
card_config,25009,name,鎖子甲
card_config,250091,name,鎖子甲
card_config,250092,name,鎖子甲
card_config,26009,name,鎖子甲
card_config,260091,name,鎖子甲
card_config,260092,name,鎖子甲
card_config,21010,name,皮革甲
card_config,210101,name,皮革甲
card_config,210102,name,皮革甲
card_config,22010,name,皮革甲
card_config,220101,name,皮革甲
card_config,220102,name,皮革甲
card_config,23010,name,皮革甲
card_config,230101,name,皮革甲
card_config,230102,name,皮革甲
card_config,24010,name,皮革甲
card_config,240101,name,皮革甲
card_config,240102,name,皮革甲
card_config,25010,name,皮革甲
card_config,250101,name,皮革甲
card_config,250102,name,皮革甲
card_config,26010,name,皮革甲
card_config,260101,name,皮革甲
card_config,260102,name,皮革甲
card_config,21011,name,武僧甲
card_config,210111,name,武僧甲
card_config,210112,name,武僧甲
card_config,22011,name,武僧甲
card_config,220111,name,武僧甲
card_config,220112,name,武僧甲
card_config,23011,name,武僧甲
card_config,230111,name,武僧甲
card_config,230112,name,武僧甲
card_config,24011,name,武僧甲
card_config,240111,name,武僧甲
card_config,240112,name,武僧甲
card_config,25011,name,武僧甲
card_config,250111,name,武僧甲
card_config,250112,name,武僧甲
card_config,26011,name,武僧甲
card_config,260111,name,武僧甲
card_config,260112,name,武僧甲
card_config,21012,name,兇惡面具
card_config,210121,name,兇惡面具
card_config,210122,name,兇惡面具
card_config,22012,name,兇惡面具
card_config,220121,name,兇惡面具
card_config,220122,name,兇惡面具
card_config,23012,name,兇惡面具
card_config,230121,name,兇惡面具
card_config,230122,name,兇惡面具
card_config,24012,name,兇惡面具
card_config,240121,name,兇惡面具
card_config,240122,name,兇惡面具
card_config,25012,name,兇惡面具
card_config,250121,name,兇惡面具
card_config,250122,name,兇惡面具
card_config,26012,name,兇惡面具
card_config,260121,name,兇惡面具
card_config,260122,name,兇惡面具
card_config,21013,name,羽毛帽
card_config,210131,name,羽毛帽
card_config,210132,name,羽毛帽
card_config,22013,name,羽毛帽
card_config,220131,name,羽毛帽
card_config,220132,name,羽毛帽
card_config,23013,name,羽毛帽
card_config,230131,name,羽毛帽
card_config,230132,name,羽毛帽
card_config,24013,name,羽毛帽
card_config,240131,name,羽毛帽
card_config,240132,name,羽毛帽
card_config,25013,name,羽毛帽
card_config,250131,name,羽毛帽
card_config,250132,name,羽毛帽
card_config,26013,name,羽毛帽
card_config,260131,name,羽毛帽
card_config,260132,name,羽毛帽
card_config,21014,name,變換護腕
card_config,210141,name,變換護腕
card_config,210142,name,變換護腕
card_config,22014,name,變換護腕
card_config,220141,name,變換護腕
card_config,220142,name,變換護腕
card_config,23014,name,變換護腕
card_config,230141,name,變換護腕
card_config,230142,name,變換護腕
card_config,24014,name,變換護腕
card_config,240141,name,變換護腕
card_config,240142,name,變換護腕
card_config,25014,name,變換護腕
card_config,250141,name,變換護腕
card_config,250142,name,變換護腕
card_config,26014,name,變換護腕
card_config,260141,name,變換護腕
card_config,260142,name,變換護腕
card_config,21015,name,法師帽
card_config,210151,name,法師帽
card_config,210152,name,法師帽
card_config,22015,name,法師帽
card_config,220151,name,法師帽
card_config,220152,name,法師帽
card_config,23015,name,法師帽
card_config,230151,name,法師帽
card_config,230152,name,法師帽
card_config,24015,name,法師帽
card_config,240151,name,法師帽
card_config,240152,name,法師帽
card_config,25015,name,法師帽
card_config,250151,name,法師帽
card_config,250152,name,法師帽
card_config,26015,name,法師帽
card_config,260151,name,法師帽
card_config,260152,name,法師帽
card_config,21016,name,格鬥手套
card_config,210161,name,格鬥手套
card_config,210162,name,格鬥手套
card_config,22016,name,格鬥手套
card_config,220161,name,格鬥手套
card_config,220162,name,格鬥手套
card_config,24016,name,格鬥手套
card_config,240161,name,格鬥手套
card_config,240162,name,格鬥手套
card_config,25016,name,格鬥手套
card_config,250161,name,格鬥手套
card_config,250162,name,格鬥手套
card_config,26016,name,格鬥手套
card_config,260161,name,格鬥手套
card_config,260162,name,格鬥手套
card_config,21017,name,羊皮盾
card_config,210171,name,羊皮盾
card_config,210172,name,羊皮盾
card_config,22017,name,羊皮盾
card_config,220171,name,羊皮盾
card_config,220172,name,羊皮盾
card_config,23017,name,羊皮盾
card_config,230171,name,羊皮盾
card_config,230172,name,羊皮盾
card_config,24017,name,羊皮盾
card_config,240171,name,羊皮盾
card_config,240172,name,羊皮盾
card_config,26017,name,羊皮盾
card_config,260171,name,羊皮盾
card_config,260172,name,羊皮盾
card_config,22018,name,金冠
card_config,220181,name,金冠
card_config,220182,name,金冠
card_config,23018,name,金冠
card_config,230181,name,金冠
card_config,230182,name,金冠
card_config,24018,name,金冠
card_config,240181,name,金冠
card_config,240182,name,金冠
card_config,25018,name,金冠
card_config,250181,name,金冠
card_config,250182,name,金冠
card_config,26018,name,金冠
card_config,260181,name,金冠
card_config,260182,name,金冠
card_config,21019,name,尖刺護甲
card_config,210191,name,尖刺護甲
card_config,210192,name,尖刺護甲
card_config,23019,name,尖刺護甲
card_config,230191,name,尖刺護甲
card_config,230192,name,尖刺護甲
card_config,24019,name,尖刺護甲
card_config,240191,name,尖刺護甲
card_config,240192,name,尖刺護甲
card_config,25019,name,尖刺護甲
card_config,250191,name,尖刺護甲
card_config,250192,name,尖刺護甲
card_config,26019,name,尖刺護甲
card_config,260191,name,尖刺護甲
card_config,260192,name,尖刺護甲
card_config,21020,name,魔法護盾
card_config,210201,name,魔法護盾
card_config,210202,name,魔法護盾
card_config,22020,name,魔法護盾
card_config,220201,name,魔法護盾
card_config,220202,name,魔法護盾
card_config,23020,name,魔法護盾
card_config,230201,name,魔法護盾
card_config,230202,name,魔法護盾
card_config,25020,name,魔法護盾
card_config,250201,name,魔法護盾
card_config,250202,name,魔法護盾
card_config,26020,name,魔法護盾
card_config,260201,name,魔法護盾
card_config,260202,name,魔法護盾
card_config,21021,name,衝鋒盾牌
card_config,210211,name,衝鋒盾牌
card_config,210212,name,衝鋒盾牌
card_config,22021,name,衝鋒盾牌
card_config,220211,name,衝鋒盾牌
card_config,220212,name,衝鋒盾牌
card_config,23021,name,衝鋒盾牌
card_config,230211,name,衝鋒盾牌
card_config,230212,name,衝鋒盾牌
card_config,24021,name,衝鋒盾牌
card_config,240211,name,衝鋒盾牌
card_config,240212,name,衝鋒盾牌
card_config,25021,name,衝鋒盾牌
card_config,250211,name,衝鋒盾牌
card_config,250212,name,衝鋒盾牌
card_config,26021,name,衝鋒盾牌
card_config,260211,name,衝鋒盾牌
card_config,260212,name,衝鋒盾牌
card_config,22022,name,美杜莎之盾
card_config,220221,name,美杜莎之盾
card_config,220222,name,美杜莎之盾
card_config,23022,name,美杜莎之盾
card_config,230221,name,美杜莎之盾
card_config,230222,name,美杜莎之盾
card_config,24022,name,美杜莎之盾
card_config,240221,name,美杜莎之盾
card_config,240222,name,美杜莎之盾
card_config,26022,name,美杜莎之盾
card_config,260221,name,美杜莎之盾
card_config,260222,name,美杜莎之盾
card_config,22023,name,修理板甲
card_config,220231,name,修理板甲
card_config,220232,name,修理板甲
card_config,23023,name,修理板甲
card_config,230231,name,修理板甲
card_config,230232,name,修理板甲
card_config,24023,name,修理板甲
card_config,240231,name,修理板甲
card_config,240232,name,修理板甲
card_config,26023,name,修理板甲
card_config,260231,name,修理板甲
card_config,260232,name,修理板甲
card_config,22024,name,戰鬥寶冠
card_config,220241,name,戰鬥寶冠
card_config,220242,name,戰鬥寶冠
card_config,23024,name,戰鬥寶冠
card_config,230241,name,戰鬥寶冠
card_config,230242,name,戰鬥寶冠
card_config,24024,name,戰鬥寶冠
card_config,240241,name,戰鬥寶冠
card_config,240242,name,戰鬥寶冠
card_config,25024,name,戰鬥寶冠
card_config,250241,name,戰鬥寶冠
card_config,250242,name,戰鬥寶冠
card_config,26024,name,戰鬥寶冠
card_config,260241,name,戰鬥寶冠
card_config,260242,name,戰鬥寶冠
card_config,21025,name,岩石護甲
card_config,210251,name,岩石護甲
card_config,210252,name,岩石護甲
card_config,22025,name,岩石護甲
card_config,220251,name,岩石護甲
card_config,220252,name,岩石護甲
card_config,23025,name,岩石護甲
card_config,230251,name,岩石護甲
card_config,230252,name,岩石護甲
card_config,24025,name,岩石護甲
card_config,240251,name,岩石護甲
card_config,240252,name,岩石護甲
card_config,26025,name,岩石護甲
card_config,260251,name,岩石護甲
card_config,260252,name,岩石護甲
card_config,21026,name,惡魔護甲
card_config,210261,name,惡魔護甲
card_config,210262,name,惡魔護甲
card_config,22026,name,惡魔護甲
card_config,220261,name,惡魔護甲
card_config,220262,name,惡魔護甲
card_config,23026,name,惡魔護甲
card_config,230261,name,惡魔護甲
card_config,230262,name,惡魔護甲
card_config,24026,name,惡魔護甲
card_config,240261,name,惡魔護甲
card_config,240262,name,惡魔護甲
card_config,25026,name,惡魔護甲
card_config,250261,name,惡魔護甲
card_config,250262,name,惡魔護甲
card_config,26026,name,惡魔護甲
card_config,260261,name,惡魔護甲
card_config,260262,name,惡魔護甲
card_config,21027,name,保護者護甲
card_config,210271,name,保護者護甲
card_config,210272,name,保護者護甲
card_config,22027,name,保護者護甲
card_config,220271,name,保護者護甲
card_config,220272,name,保護者護甲
card_config,23027,name,保護者護甲
card_config,230271,name,保護者護甲
card_config,230272,name,保護者護甲
card_config,24027,name,保護者護甲
card_config,240271,name,保護者護甲
card_config,240272,name,保護者護甲
card_config,26027,name,保護者護甲
card_config,260271,name,保護者護甲
card_config,260272,name,保護者護甲
card_config,21028,name,骷髏革甲
card_config,210281,name,骷髏革甲
card_config,210282,name,骷髏革甲
card_config,23028,name,骷髏革甲
card_config,230281,name,骷髏革甲
card_config,230282,name,骷髏革甲
card_config,24028,name,骷髏革甲
card_config,240281,name,骷髏革甲
card_config,240282,name,骷髏革甲
card_config,26028,name,骷髏革甲
card_config,260281,name,骷髏革甲
card_config,260282,name,骷髏革甲
card_config,21029,name,木制護腕
card_config,210291,name,木制護腕
card_config,210292,name,木制護腕
card_config,22029,name,木制護腕
card_config,220291,name,木制護腕
card_config,220292,name,木制護腕
card_config,23029,name,木制護腕
card_config,230291,name,木制護腕
card_config,230292,name,木制護腕
card_config,24029,name,木制護腕
card_config,240291,name,木制護腕
card_config,240292,name,木制護腕
card_config,25029,name,木制護腕
card_config,250291,name,木制護腕
card_config,250292,name,木制護腕
card_config,26029,name,木制護腕
card_config,260291,name,木制護腕
card_config,260292,name,木制護腕
card_config,31001,name,短劍
card_config,310011,name,短劍
card_config,310012,name,短劍
card_config,32001,name,短劍
card_config,320011,name,短劍
card_config,320012,name,短劍
card_config,34001,name,短劍
card_config,340011,name,短劍
card_config,340012,name,短劍
card_config,35001,name,短劍
card_config,350011,name,短劍
card_config,350012,name,短劍
card_config,36001,name,短劍
card_config,360011,name,短劍
card_config,360012,name,短劍
card_config,31002,name,短弓
card_config,310021,name,短弓
card_config,310022,name,短弓
card_config,32002,name,短弓
card_config,320021,name,短弓
card_config,320022,name,短弓
card_config,33002,name,短弓
card_config,330021,name,短弓
card_config,330022,name,短弓
card_config,34002,name,短弓
card_config,340021,name,短弓
card_config,340022,name,短弓
card_config,35002,name,短弓
card_config,350021,name,短弓
card_config,350022,name,短弓
card_config,36002,name,短弓
card_config,360021,name,短弓
card_config,360022,name,短弓
card_config,31003,name,橡木法杖
card_config,310031,name,橡木法杖
card_config,310032,name,橡木法杖
card_config,32003,name,橡木法杖
card_config,320031,name,橡木法杖
card_config,320032,name,橡木法杖
card_config,33003,name,橡木法杖
card_config,330031,name,橡木法杖
card_config,330032,name,橡木法杖
card_config,34003,name,橡木法杖
card_config,340031,name,橡木法杖
card_config,340032,name,橡木法杖
card_config,35003,name,橡木法杖
card_config,350031,name,橡木法杖
card_config,350032,name,橡木法杖
card_config,36003,name,橡木法杖
card_config,360031,name,橡木法杖
card_config,360032,name,橡木法杖
card_config,31004,name,野蠻戰靴
card_config,310041,name,野蠻戰靴
card_config,310042,name,野蠻戰靴
card_config,32004,name,野蠻戰靴
card_config,320041,name,野蠻戰靴
card_config,320042,name,野蠻戰靴
card_config,33004,name,野蠻戰靴
card_config,330041,name,野蠻戰靴
card_config,330042,name,野蠻戰靴
card_config,34004,name,野蠻戰靴
card_config,340041,name,野蠻戰靴
card_config,340042,name,野蠻戰靴
card_config,35004,name,野蠻戰靴
card_config,350041,name,野蠻戰靴
card_config,350042,name,野蠻戰靴
card_config,36004,name,野蠻戰靴
card_config,360041,name,野蠻戰靴
card_config,360042,name,野蠻戰靴
card_config,32005,name,飛鞋
card_config,320051,name,飛鞋
card_config,320052,name,飛鞋
card_config,33005,name,飛鞋
card_config,330051,name,飛鞋
card_config,330052,name,飛鞋
card_config,34005,name,飛鞋
card_config,340051,name,飛鞋
card_config,340052,name,飛鞋
card_config,35005,name,飛鞋
card_config,350051,name,飛鞋
card_config,350052,name,飛鞋
card_config,36005,name,飛鞋
card_config,360051,name,飛鞋
card_config,360052,name,飛鞋
card_config,31006,name,翡翠戒指
card_config,310061,name,翡翠戒指
card_config,310062,name,翡翠戒指
card_config,32006,name,翡翠戒指
card_config,320061,name,翡翠戒指
card_config,320062,name,翡翠戒指
card_config,33006,name,翡翠戒指
card_config,330061,name,翡翠戒指
card_config,330062,name,翡翠戒指
card_config,34006,name,翡翠戒指
card_config,340061,name,翡翠戒指
card_config,340062,name,翡翠戒指
card_config,35006,name,翡翠戒指
card_config,350061,name,翡翠戒指
card_config,350062,name,翡翠戒指
card_config,36006,name,翡翠戒指
card_config,360061,name,翡翠戒指
card_config,360062,name,翡翠戒指
card_config,31007,name,長劍
card_config,310071,name,長劍
card_config,310072,name,長劍
card_config,32007,name,長劍
card_config,320071,name,長劍
card_config,320072,name,長劍
card_config,34007,name,長劍
card_config,340071,name,長劍
card_config,340072,name,長劍
card_config,35007,name,長劍
card_config,350071,name,長劍
card_config,350072,name,長劍
card_config,36007,name,長劍
card_config,360071,name,長劍
card_config,360072,name,長劍
card_config,32008,name,幸運靴
card_config,320081,name,幸運靴
card_config,320082,name,幸運靴
card_config,33008,name,幸運靴
card_config,330081,name,幸運靴
card_config,330082,name,幸運靴
card_config,34008,name,幸運靴
card_config,340081,name,幸運靴
card_config,340082,name,幸運靴
card_config,35008,name,幸運靴
card_config,350081,name,幸運靴
card_config,350082,name,幸運靴
card_config,36008,name,幸運靴
card_config,360081,name,幸運靴
card_config,360082,name,幸運靴
card_config,31009,name,獵弓
card_config,310091,name,獵弓
card_config,310092,name,獵弓
card_config,32009,name,獵弓
card_config,320091,name,獵弓
card_config,320092,name,獵弓
card_config,33009,name,獵弓
card_config,330091,name,獵弓
card_config,330092,name,獵弓
card_config,34009,name,獵弓
card_config,340091,name,獵弓
card_config,340092,name,獵弓
card_config,36009,name,獵弓
card_config,360091,name,獵弓
card_config,360092,name,獵弓
card_config,31010,name,均衡之戒
card_config,310101,name,均衡之戒
card_config,310102,name,均衡之戒
card_config,32010,name,均衡之戒
card_config,320101,name,均衡之戒
card_config,320102,name,均衡之戒
card_config,33010,name,均衡之戒
card_config,330101,name,均衡之戒
card_config,330102,name,均衡之戒
card_config,34010,name,均衡之戒
card_config,340101,name,均衡之戒
card_config,340102,name,均衡之戒
card_config,35010,name,均衡之戒
card_config,350101,name,均衡之戒
card_config,350102,name,均衡之戒
card_config,36010,name,均衡之戒
card_config,360101,name,均衡之戒
card_config,360102,name,均衡之戒
card_config,31011,name,勇氣掛墜
card_config,310111,name,勇氣掛墜
