类型,索引,替换目标,文本值(简中）
text,pve_play_not_open,,该玩法未开放
text,pve_difficulty_error,,选择难度是错的
text,pve_attack_type_error,,上阵类型是错的
text,pve_fight_data_error,,出战数据是错的
text,pve_count_not_enough,,次数不够
text,task_reward_failed,,领任务奖励失败
text,achievement_reward_failed,,领成就奖励失败
text,task_reset_failed,,重置失败
text,pve_no_limit,,牌组无限制
text,task_daily_clean,,今天的任务已完成，请明天再来吧
text,task_reward_desc,,你获得以下任务奖励
text,achievement_reward_desc,,你获得以下成就奖励
text,task_complete,,领取奖励
text,friend_title,,好友中的奖杯排名：%d
text,friend_name,,玩家名字#%s
text,invited_fight_msgbox_response,,%s拒绝了你的邀请
text,invited_fight_msgbox_title,,好友对战
text,arena_info_name,,天梯赛规则
text,arena_info_desc,,每个赛季末，将会根据您的当赛季最高排名发放赛季奖励
text,arena_fight_msgbox_cancel,,%s取消了切磋请求
text,pvp_confirm_btn_value,,匹配战斗
text,battle_result_tips_info,,已达今日上限
text,arena_bar_text,,到下一段位还需:%s
text,pve_first_reward_desc,,通关奖励
text,pve_reward_desc,,通关奖励
text,loading_desc,,版本更新
text,guide_name_1,,威尔
text,guide_name_2,,挑战者
text,enter_cdkey_code,,点击输入礼品码
text,redeem_failed,,兑换失败
text,redeem_code_invalid,,礼品码无效
text,redeem_code_used,,该礼品码已经被使用过了
text,gift_already_got,,礼包已被领取
text,redeem_code_error,,礼品码错误
text,equip_target_card_is_null,,装备卡必须装备在怪兽身上
text,adv_skilled_exam,,牌手等级%d 升级考试
text,exam_college,,牌手学院
text,exam_college_skilled,,1级熟练度满后解锁
text,progress_text,,进度
text,gerbil_tide_title,,— 鼠潮来袭 —
text,adv_main_title,,冒险
text,battle_result_lost_desc,,请再接再厉
text,battle_result_win_desc,,恭喜你
text,battle_result_enemy,,敌方
text,battle_result_self,,友方
text,battle_result_synthesis_desc,,您尚未拥有这张卡，是否前往合成？
text,battle_result_upgrade_desc,,您已拥有这张卡，是否前往升级？
text,upgrade_level,, 牌手等级
text,upgrade_award,,奖励
card_config,110011,name,绿穴居人
card_config,110012,name,绿穴居人
card_config,110013,name,绿穴居人
card_config,110014,name,绿穴居人
card_config,110015,name,绿穴居人
card_config,110021,name,疯山羊
card_config,110022,name,疯山羊
card_config,110023,name,疯山羊
card_config,110024,name,疯山羊
card_config,110025,name,疯山羊
card_config,110031,name,巨人
card_config,110032,name,巨人
card_config,110033,name,巨人
card_config,110034,name,巨人
card_config,110035,name,巨人
card_config,110036,name,巨人
card_config,110041,name,迷失的探险者
card_config,110042,name,迷失的探险者
card_config,110043,name,迷失的探险者
card_config,110044,name,迷失的探险者
card_config,110045,name,迷失的探险者
card_config,110051,name,狼骑兵
card_config,110052,name,狼骑兵
card_config,110053,name,狼骑兵
card_config,110054,name,狼骑兵
card_config,110055,name,狼骑兵
card_config,110056,name,狼骑兵
card_config,110061,name,无头骑士
card_config,110062,name,无头骑士
card_config,110063,name,无头骑士
card_config,110064,name,无头骑士
card_config,110065,name,无头骑士
card_config,110066,name,无头骑士
card_config,110071,name,秃鹰守卫
card_config,110072,name,秃鹰守卫
card_config,110073,name,秃鹰守卫
card_config,110074,name,秃鹰守卫
card_config,110075,name,秃鹰守卫
card_config,110076,name,秃鹰守卫
card_config,110077,name,秃鹰守卫
card_config,110081,name,沙漠袭击者
card_config,110082,name,沙漠袭击者
card_config,110083,name,沙漠袭击者
card_config,110084,name,沙漠袭击者
card_config,110085,name,沙漠袭击者
card_config,110086,name,沙漠袭击者
card_config,110091,name,红龙
card_config,110092,name,红龙
card_config,110093,name,红龙
card_config,110094,name,红龙
card_config,110095,name,红龙
card_config,110096,name,红龙
card_config,110097,name,红龙
card_config,110098,name,红龙
card_config,110101,name,双斧
card_config,110102,name,双斧
card_config,110103,name,双斧
card_config,110104,name,双斧
card_config,110105,name,双斧
card_config,110106,name,双斧
card_config,110111,name,食人兔
card_config,110112,name,食人兔
card_config,110113,name,食人兔
card_config,110114,name,食人兔
card_config,110115,name,食人兔
card_config,110116,name,食人兔
card_config,110117,name,食人兔
card_config,110118,name,食人兔
card_config,110121,name,炸弹神父
card_config,110122,name,炸弹神父
card_config,110123,name,炸弹神父
card_config,110124,name,炸弹神父
card_config,110125,name,炸弹神父
card_config,110126,name,炸弹神父
card_config,110127,name,炸弹神父
card_config,110131,name,渔夫
card_config,110132,name,渔夫
card_config,110133,name,渔夫
card_config,110134,name,渔夫
card_config,110135,name,渔夫
card_config,110136,name,渔夫
card_config,110137,name,渔夫
card_config,110141,name,猫骑兵
card_config,110142,name,猫骑兵
card_config,110143,name,猫骑兵
card_config,110144,name,猫骑兵
card_config,110145,name,猫骑兵
card_config,110146,name,猫骑兵
card_config,110147,name,猫骑兵
card_config,110148,name,猫骑兵
card_config,110151,name,恶魔斯诺曾
card_config,110152,name,恶魔斯诺曾
card_config,110153,name,恶魔斯诺曾
card_config,110154,name,恶魔斯诺曾
card_config,110155,name,恶魔斯诺曾
card_config,110156,name,恶魔斯诺曾
card_config,110157,name,恶魔斯诺曾
card_config,110161,name,禁默神父
card_config,110162,name,禁默神父
card_config,110163,name,禁默神父
card_config,110164,name,禁默神父
card_config,110165,name,禁默神父
card_config,110171,name,劫掠穴居人
card_config,110172,name,劫掠穴居人
card_config,110173,name,劫掠穴居人
card_config,110174,name,劫掠穴居人
card_config,110175,name,劫掠穴居人
card_config,110181,name,屏障骑士
card_config,110182,name,屏障骑士
card_config,110183,name,屏障骑士
card_config,110184,name,屏障骑士
card_config,110185,name,屏障骑士
card_config,110186,name,屏障骑士
card_config,110191,name,秃鹫射手
card_config,110192,name,秃鹫射手
card_config,110193,name,秃鹫射手
card_config,110194,name,秃鹫射手
card_config,110195,name,秃鹫射手
card_config,110196,name,秃鹫射手
card_config,120011,name,战鼓
card_config,120012,name,战鼓
card_config,120013,name,战鼓
card_config,120014,name,战鼓
card_config,120015,name,战鼓
card_config,120021,name,清洁少女
card_config,120022,name,清洁少女
card_config,120023,name,清洁少女
card_config,120024,name,清洁少女
card_config,120025,name,清洁少女
card_config,120031,name,不是老鼠
card_config,120032,name,不是老鼠
card_config,120033,name,不是老鼠
card_config,120034,name,不是老鼠
card_config,120035,name,不是老鼠
card_config,120041,name,礼服射手
card_config,120042,name,礼服射手
card_config,120043,name,礼服射手
card_config,120044,name,礼服射手
card_config,120045,name,礼服射手
card_config,120046,name,礼服射手
card_config,120051,name,功夫蜥蜴
card_config,120052,name,功夫蜥蜴
card_config,120053,name,功夫蜥蜴
card_config,120054,name,功夫蜥蜴
card_config,120055,name,功夫蜥蜴
card_config,120056,name,功夫蜥蜴
card_config,120061,name,冬熊
card_config,120062,name,冬熊
card_config,120063,name,冬熊
card_config,120064,name,冬熊
card_config,120065,name,冬熊
card_config,120066,name,冬熊
card_config,120071,name,忍者狐狸
card_config,120072,name,忍者狐狸
card_config,120073,name,忍者狐狸
card_config,120074,name,忍者狐狸
card_config,120075,name,忍者狐狸
card_config,120076,name,忍者狐狸
card_config,120077,name,忍者狐狸
card_config,120081,name,忍者龟
card_config,120082,name,忍者龟
card_config,120083,name,忍者龟
card_config,120084,name,忍者龟
card_config,120085,name,忍者龟
card_config,120086,name,忍者龟
card_config,120087,name,忍者龟
card_config,120091,name,睡龙
card_config,120092,name,睡龙
card_config,120093,name,睡龙
card_config,120094,name,睡龙
card_config,120095,name,睡龙
card_config,120096,name,睡龙
card_config,120097,name,睡龙
card_config,120098,name,睡龙
card_config,120101,name,恶魔地毯
card_config,120102,name,恶魔地毯
card_config,120103,name,恶魔地毯
card_config,120104,name,恶魔地毯
card_config,120105,name,恶魔地毯
card_config,120106,name,恶魔地毯
card_config,120111,name,鳄鱼
card_config,120112,name,鳄鱼
card_config,120113,name,鳄鱼
card_config,120114,name,鳄鱼
card_config,120115,name,鳄鱼
card_config,120116,name,鳄鱼
card_config,120117,name,鳄鱼
card_config,120121,name,弯腰黑猩猩
card_config,120122,name,弯腰黑猩猩
card_config,120123,name,弯腰黑猩猩
card_config,120124,name,弯腰黑猩猩
card_config,120125,name,弯腰黑猩猩
card_config,120126,name,弯腰黑猩猩
card_config,120127,name,弯腰黑猩猩
card_config,120131,name,狮鹫
card_config,120132,name,狮鹫
card_config,120133,name,狮鹫
card_config,120134,name,狮鹫
card_config,120135,name,狮鹫
card_config,120136,name,狮鹫
card_config,120137,name,狮鹫
card_config,120141,name,胖钳子
card_config,120142,name,胖钳子
card_config,120143,name,胖钳子
card_config,120144,name,胖钳子
card_config,120145,name,胖钳子
card_config,120146,name,胖钳子
card_config,120147,name,胖钳子
card_config,120148,name,胖钳子
card_config,120151,name,尖嘴波坎
card_config,120152,name,尖嘴波坎
card_config,120153,name,尖嘴波坎
card_config,120154,name,尖嘴波坎
card_config,120155,name,尖嘴波坎
card_config,120156,name,尖嘴波坎
card_config,120157,name,尖嘴波坎
card_config,120158,name,尖嘴波坎
card_config,120161,name,魔装地毯
card_config,120162,name,魔装地毯
card_config,120163,name,魔装地毯
card_config,120164,name,魔装地毯
card_config,120165,name,魔装地毯
card_config,120171,name,气功蜥蜴
card_config,120172,name,气功蜥蜴
card_config,120173,name,气功蜥蜴
card_config,120174,name,气功蜥蜴
card_config,120175,name,气功蜥蜴
card_config,120181,name,疯鳄鱼
card_config,120182,name,疯鳄鱼
card_config,120183,name,疯鳄鱼
card_config,120184,name,疯鳄鱼
card_config,120185,name,疯鳄鱼
card_config,120186,name,疯鳄鱼
card_config,120191,name,破甲射手
card_config,120192,name,破甲射手
card_config,120193,name,破甲射手
card_config,120194,name,破甲射手
card_config,120195,name,破甲射手
card_config,120196,name,破甲射手
card_config,130011,name,雪刃
card_config,130012,name,雪刃
card_config,130013,name,雪刃
card_config,130014,name,雪刃
card_config,130015,name,雪刃
card_config,130021,name,幽灵护盾
card_config,130022,name,幽灵护盾
card_config,130023,name,幽灵护盾
card_config,130024,name,幽灵护盾
card_config,130025,name,幽灵护盾
card_config,130031,name,书呆子
card_config,130032,name,书呆子
card_config,130033,name,书呆子
card_config,130034,name,书呆子
card_config,130035,name,书呆子
card_config,130041,name,蛇妖
card_config,130042,name,蛇妖
card_config,130043,name,蛇妖
card_config,130044,name,蛇妖
card_config,130045,name,蛇妖
card_config,130046,name,蛇妖
card_config,130051,name,水妖
card_config,130052,name,水妖
card_config,130053,name,水妖
card_config,130054,name,水妖
card_config,130055,name,水妖
card_config,130056,name,水妖
card_config,130061,name,严霜
card_config,130062,name,严霜
card_config,130063,name,严霜
card_config,130064,name,严霜
card_config,130065,name,严霜
card_config,130066,name,严霜
card_config,130071,name,蜗牛信使
card_config,130072,name,蜗牛信使
card_config,130073,name,蜗牛信使
card_config,130074,name,蜗牛信使
card_config,130075,name,蜗牛信使
card_config,130076,name,蜗牛信使
card_config,130077,name,蜗牛信使
card_config,130081,name,冰冻夫人
card_config,130082,name,冰冻夫人
card_config,130083,name,冰冻夫人
card_config,130084,name,冰冻夫人
card_config,130085,name,冰冻夫人
card_config,130086,name,冰冻夫人
card_config,130087,name,冰冻夫人
card_config,130091,name,石巨人
card_config,130092,name,石巨人
card_config,130093,name,石巨人
card_config,130094,name,石巨人
card_config,130095,name,石巨人
card_config,130096,name,石巨人
card_config,130097,name,石巨人
card_config,130098,name,石巨人
card_config,130101,name,石膏灵
card_config,130102,name,石膏灵
card_config,130103,name,石膏灵
card_config,130104,name,石膏灵
card_config,130105,name,石膏灵
card_config,130106,name,石膏灵
card_config,130111,name,穆博
card_config,130112,name,穆博
card_config,130113,name,穆博
card_config,130114,name,穆博
card_config,130115,name,穆博
card_config,130116,name,穆博
card_config,130117,name,穆博
card_config,130121,name,猴子法师
card_config,130122,name,猴子法师
card_config,130123,name,猴子法师
card_config,130124,name,猴子法师
card_config,130125,name,猴子法师
card_config,130126,name,猴子法师
card_config,130127,name,猴子法师
card_config,130131,name,蒸汽
card_config,130132,name,蒸汽
card_config,130133,name,蒸汽
card_config,130134,name,蒸汽
card_config,130135,name,蒸汽
card_config,130136,name,蒸汽
card_config,130137,name,蒸汽
card_config,130141,name,变异章鱼
card_config,130142,name,变异章鱼
card_config,130143,name,变异章鱼
card_config,130144,name,变异章鱼
card_config,130145,name,变异章鱼
card_config,130146,name,变异章鱼
card_config,130147,name,变异章鱼
card_config,130148,name,变异章鱼
card_config,130151,name,大法师
card_config,130152,name,大法师
card_config,130153,name,大法师
card_config,130154,name,大法师
card_config,130155,name,大法师
card_config,130156,name,大法师
card_config,130157,name,大法师
card_config,130158,name,大法师
card_config,130161,name,尖刺雪刃
card_config,130162,name,尖刺雪刃
card_config,130163,name,尖刺雪刃
card_config,130164,name,尖刺雪刃
card_config,130165,name,尖刺雪刃
card_config,130171,name,魔能虫
card_config,130172,name,魔能虫
card_config,130173,name,魔能虫
card_config,130174,name,魔能虫
card_config,130175,name,魔能虫
card_config,130181,name,蜗牛警卫
card_config,130182,name,蜗牛警卫
card_config,130183,name,蜗牛警卫
card_config,130184,name,蜗牛警卫
card_config,130185,name,蜗牛警卫
card_config,130186,name,蜗牛警卫
card_config,130191,name,鱼妖
card_config,130192,name,鱼妖
card_config,130193,name,鱼妖
card_config,130194,name,鱼妖
card_config,130195,name,鱼妖
card_config,130196,name,鱼妖
card_config,140011,name,沙鼠
card_config,140012,name,沙鼠
card_config,140013,name,沙鼠
card_config,140014,name,沙鼠
card_config,140015,name,沙鼠
card_config,140021,name,蘑菇怪
card_config,140022,name,蘑菇怪
card_config,140023,name,蘑菇怪
card_config,140024,name,蘑菇怪
card_config,140025,name,蘑菇怪
card_config,140031,name,火鸡
card_config,140032,name,火鸡
card_config,140033,name,火鸡
card_config,140034,name,火鸡
card_config,140035,name,火鸡
card_config,140041,name,奶油蝙蝠
card_config,140042,name,奶油蝙蝠
card_config,140043,name,奶油蝙蝠
card_config,140044,name,奶油蝙蝠
card_config,140045,name,奶油蝙蝠
card_config,140046,name,奶油蝙蝠
card_config,140051,name,花树精
card_config,140052,name,花树精
card_config,140053,name,花树精
card_config,140054,name,花树精
card_config,140055,name,花树精
card_config,140056,name,花树精
card_config,140061,name,狼蛛
card_config,140062,name,狼蛛
card_config,140063,name,狼蛛
card_config,140064,name,狼蛛
card_config,140065,name,狼蛛
card_config,140066,name,狼蛛
card_config,140071,name,鳄鱼熊
card_config,140072,name,鳄鱼熊
card_config,140073,name,鳄鱼熊
card_config,140074,name,鳄鱼熊
card_config,140075,name,鳄鱼熊
card_config,140076,name,鳄鱼熊
card_config,140077,name,鳄鱼熊
card_config,140081,name,福洛克
card_config,140082,name,福洛克
card_config,140083,name,福洛克
card_config,140084,name,福洛克
card_config,140085,name,福洛克
card_config,140086,name,福洛克
card_config,140087,name,福洛克
card_config,140091,name,库库坎
card_config,140092,name,库库坎
card_config,140093,name,库库坎
card_config,140094,name,库库坎
card_config,140095,name,库库坎
card_config,140096,name,库库坎
card_config,140097,name,库库坎
card_config,140098,name,库库坎
card_config,140101,name,电鳗
card_config,140102,name,电鳗
card_config,140103,name,电鳗
card_config,140104,name,电鳗
card_config,140105,name,电鳗
card_config,140106,name,电鳗
card_config,140111,name,贝利肯
card_config,140112,name,贝利肯
card_config,140113,name,贝利肯
card_config,140114,name,贝利肯
card_config,140115,name,贝利肯
card_config,140116,name,贝利肯
card_config,140117,name,贝利肯
card_config,140121,name,剑齿虎
card_config,140122,name,剑齿虎
card_config,140123,name,剑齿虎
card_config,140124,name,剑齿虎
card_config,140125,name,剑齿虎
card_config,140126,name,剑齿虎
card_config,140127,name,剑齿虎
card_config,140131,name,夜鲨
card_config,140132,name,夜鲨
card_config,140133,name,夜鲨
card_config,140134,name,夜鲨
card_config,140135,name,夜鲨
card_config,140136,name,夜鲨
card_config,140137,name,夜鲨
card_config,140141,name,乌贼喷射者
card_config,140142,name,乌贼喷射者
card_config,140143,name,乌贼喷射者
card_config,140144,name,乌贼喷射者
card_config,140145,name,乌贼喷射者
card_config,140146,name,乌贼喷射者
card_config,140147,name,乌贼喷射者
card_config,140148,name,乌贼喷射者
card_config,140151,name,王子蘑菇
card_config,140152,name,王子蘑菇
card_config,140153,name,王子蘑菇
card_config,140154,name,王子蘑菇
card_config,140155,name,王子蘑菇
card_config,140156,name,王子蘑菇
card_config,140157,name,王子蘑菇
card_config,140158,name,王子蘑菇
card_config,140161,name,铠蛛
card_config,140162,name,铠蛛
card_config,140163,name,铠蛛
card_config,140164,name,铠蛛
card_config,140165,name,铠蛛
card_config,140171,name,恢复蘑菇
card_config,140172,name,恢复蘑菇
card_config,140173,name,恢复蘑菇
card_config,140174,name,恢复蘑菇
card_config,140175,name,恢复蘑菇
card_config,140181,name,机警的火鸡
card_config,140182,name,机警的火鸡
card_config,140183,name,机警的火鸡
card_config,140184,name,机警的火鸡
card_config,140185,name,机警的火鸡
card_config,140186,name,机警的火鸡
card_config,140191,name,尖叫电鳗
card_config,140192,name,尖叫电鳗
card_config,140193,name,尖叫电鳗
card_config,140194,name,尖叫电鳗
card_config,140195,name,尖叫电鳗
card_config,140196,name,尖叫电鳗
card_config,149018,name,沙鼠王
card_config,150011,name,石甲虫
card_config,150012,name,石甲虫
card_config,150013,name,石甲虫
card_config,150014,name,石甲虫
card_config,150015,name,石甲虫
card_config,150021,name,布罗格洛吉特
card_config,150022,name,布罗格洛吉特
card_config,150023,name,布罗格洛吉特
card_config,150024,name,布罗格洛吉特
card_config,150025,name,布罗格洛吉特
card_config,150031,name,一堆粘稠物
card_config,150032,name,一堆粘稠物
card_config,150033,name,一堆粘稠物
card_config,150034,name,一堆粘稠物
card_config,150035,name,一堆粘稠物
card_config,150041,name,熔岩软泥
card_config,150042,name,熔岩软泥
card_config,150043,name,熔岩软泥
card_config,150044,name,熔岩软泥
card_config,150045,name,熔岩软泥
card_config,150046,name,熔岩软泥
card_config,150051,name,疯牛
card_config,150052,name,疯牛
card_config,150053,name,疯牛
card_config,150054,name,疯牛
card_config,150055,name,疯牛
card_config,150056,name,疯牛
card_config,150061,name,大骨头
card_config,150062,name,大骨头
card_config,150063,name,大骨头
card_config,150064,name,大骨头
card_config,150065,name,大骨头
card_config,150066,name,大骨头
card_config,150071,name,侍僧
card_config,150072,name,侍僧
card_config,150073,name,侍僧
card_config,150074,name,侍僧
card_config,150075,name,侍僧
card_config,150076,name,侍僧
card_config,150077,name,侍僧
card_config,150081,name,恶魔侏儒
card_config,150082,name,恶魔侏儒
card_config,150083,name,恶魔侏儒
card_config,150084,name,恶魔侏儒
card_config,150085,name,恶魔侏儒
card_config,150086,name,恶魔侏儒
card_config,150087,name,恶魔侏儒
card_config,150091,name,玛斯卡拉德
card_config,150092,name,玛斯卡拉德
card_config,150093,name,玛斯卡拉德
card_config,150094,name,玛斯卡拉德
card_config,150095,name,玛斯卡拉德
card_config,150096,name,玛斯卡拉德
card_config,150097,name,玛斯卡拉德
card_config,150098,name,玛斯卡拉德
card_config,150101,name,天空蜉蝣
card_config,150102,name,天空蜉蝣
card_config,150103,name,天空蜉蝣
card_config,150104,name,天空蜉蝣
card_config,150105,name,天空蜉蝣
card_config,150106,name,天空蜉蝣
card_config,150111,name,地牢师傅
card_config,150112,name,地牢师傅
card_config,150113,name,地牢师傅
card_config,150114,name,地牢师傅
card_config,150115,name,地牢师傅
card_config,150116,name,地牢师傅
card_config,150117,name,地牢师傅
card_config,150118,name,地牢师傅
card_config,150121,name,巨鼠
card_config,150122,name,巨鼠
card_config,150123,name,巨鼠
card_config,150124,name,巨鼠
card_config,150125,name,巨鼠
card_config,150126,name,巨鼠
card_config,150127,name,巨鼠
card_config,150131,name,火焰
card_config,150132,name,火焰
card_config,150133,name,火焰
card_config,150134,name,火焰
card_config,150135,name,火焰
card_config,150136,name,火焰
card_config,150137,name,火焰
card_config,150141,name,蓝龙
card_config,150142,name,蓝龙
card_config,150143,name,蓝龙
card_config,150144,name,蓝龙
card_config,150145,name,蓝龙
card_config,150146,name,蓝龙
card_config,150147,name,蓝龙
card_config,150148,name,蓝龙
card_config,150151,name,游灵
card_config,150152,name,游灵
card_config,150153,name,游灵
card_config,150154,name,游灵
card_config,150155,name,游灵
card_config,150156,name,游灵
card_config,150157,name,游灵
card_config,150161,name,奥术垃圾
card_config,150162,name,奥术垃圾
card_config,150163,name,奥术垃圾
card_config,150164,name,奥术垃圾
card_config,150165,name,奥术垃圾
card_config,150171,name,大钳虫
card_config,150172,name,大钳虫
card_config,150173,name,大钳虫
card_config,150174,name,大钳虫
card_config,150175,name,大钳虫
card_config,150181,name,捣蛋小鬼
card_config,150182,name,捣蛋小鬼
card_config,150183,name,捣蛋小鬼
card_config,150184,name,捣蛋小鬼
card_config,150185,name,捣蛋小鬼
card_config,150186,name,捣蛋小鬼
card_config,150191,name,疯侏儒
card_config,150192,name,疯侏儒
card_config,150193,name,疯侏儒
card_config,150194,name,疯侏儒
card_config,150195,name,疯侏儒
card_config,150196,name,疯侏儒
card_config,21001,name,便服
card_config,210011,name,便服
card_config,210012,name,便服
card_config,22001,name,便服
card_config,220011,name,便服
card_config,220012,name,便服
card_config,23001,name,便服
card_config,230011,name,便服
card_config,230012,name,便服
card_config,24001,name,便服
card_config,240011,name,便服
card_config,240012,name,便服
card_config,25001,name,便服
card_config,250011,name,便服
card_config,250012,name,便服
card_config,26001,name,便服
card_config,260011,name,便服
card_config,260012,name,便服
card_config,21002,name,金属帽子
card_config,210021,name,金属帽子
card_config,210022,name,金属帽子
card_config,22002,name,金属帽子
card_config,220021,name,金属帽子
card_config,220022,name,金属帽子
card_config,23002,name,金属帽子
card_config,230021,name,金属帽子
card_config,230022,name,金属帽子
card_config,24002,name,金属帽子
card_config,240021,name,金属帽子
card_config,240022,name,金属帽子
card_config,25002,name,金属帽子
card_config,250021,name,金属帽子
card_config,250022,name,金属帽子
card_config,26002,name,金属帽子
card_config,260021,name,金属帽子
card_config,260022,name,金属帽子
card_config,21003,name,尖刺护腿
card_config,210031,name,尖刺护腿
card_config,210032,name,尖刺护腿
card_config,22003,name,尖刺护腿
card_config,220031,name,尖刺护腿
card_config,220032,name,尖刺护腿
card_config,23003,name,尖刺护腿
card_config,230031,name,尖刺护腿
card_config,230032,name,尖刺护腿
card_config,24003,name,尖刺护腿
card_config,240031,name,尖刺护腿
card_config,240032,name,尖刺护腿
card_config,25003,name,尖刺护腿
card_config,250031,name,尖刺护腿
card_config,250032,name,尖刺护腿
card_config,26003,name,尖刺护腿
card_config,260031,name,尖刺护腿
card_config,260032,name,尖刺护腿
card_config,21004,name,骑士手套
card_config,210041,name,骑士手套
card_config,210042,name,骑士手套
card_config,22004,name,骑士手套
card_config,220041,name,骑士手套
card_config,220042,name,骑士手套
card_config,23004,name,骑士手套
card_config,230041,name,骑士手套
card_config,230042,name,骑士手套
card_config,24004,name,骑士手套
card_config,240041,name,骑士手套
card_config,240042,name,骑士手套
card_config,25004,name,骑士手套
card_config,250041,name,骑士手套
card_config,250042,name,骑士手套
card_config,26004,name,骑士手套
card_config,260041,name,骑士手套
card_config,260042,name,骑士手套
card_config,21005,name,毛皮甲
card_config,210051,name,毛皮甲
card_config,210052,name,毛皮甲
card_config,22005,name,毛皮甲
card_config,220051,name,毛皮甲
card_config,220052,name,毛皮甲
card_config,23005,name,毛皮甲
card_config,230051,name,毛皮甲
card_config,230052,name,毛皮甲
card_config,24005,name,毛皮甲
card_config,240051,name,毛皮甲
card_config,240052,name,毛皮甲
card_config,25005,name,毛皮甲
card_config,250051,name,毛皮甲
card_config,250052,name,毛皮甲
card_config,26005,name,毛皮甲
card_config,260051,name,毛皮甲
card_config,260052,name,毛皮甲
card_config,22006,name,盗贼斗篷
card_config,220061,name,盗贼斗篷
card_config,220062,name,盗贼斗篷
card_config,23006,name,盗贼斗篷
card_config,230061,name,盗贼斗篷
card_config,230062,name,盗贼斗篷
card_config,24006,name,盗贼斗篷
card_config,240061,name,盗贼斗篷
card_config,240062,name,盗贼斗篷
card_config,25006,name,盗贼斗篷
card_config,250061,name,盗贼斗篷
card_config,250062,name,盗贼斗篷
card_config,26006,name,盗贼斗篷
card_config,260061,name,盗贼斗篷
card_config,260062,name,盗贼斗篷
card_config,21007,name,巡游手套
card_config,210071,name,巡游手套
card_config,210072,name,巡游手套
card_config,22007,name,巡游手套
card_config,220071,name,巡游手套
card_config,220072,name,巡游手套
card_config,23007,name,巡游手套
card_config,230071,name,巡游手套
card_config,230072,name,巡游手套
card_config,24007,name,巡游手套
card_config,240071,name,巡游手套
card_config,240072,name,巡游手套
card_config,25007,name,巡游手套
card_config,250071,name,巡游手套
card_config,250072,name,巡游手套
card_config,26007,name,巡游手套
card_config,260071,name,巡游手套
card_config,260072,name,巡游手套
card_config,22008,name,视觉手套
card_config,220081,name,视觉手套
card_config,220082,name,视觉手套
card_config,23008,name,视觉手套
card_config,230081,name,视觉手套
card_config,230082,name,视觉手套
card_config,24008,name,视觉手套
card_config,240081,name,视觉手套
card_config,240082,name,视觉手套
card_config,26008,name,视觉手套
card_config,260081,name,视觉手套
card_config,260082,name,视觉手套
card_config,21009,name,锁子甲
card_config,210091,name,锁子甲
card_config,210092,name,锁子甲
card_config,22009,name,锁子甲
card_config,220091,name,锁子甲
card_config,220092,name,锁子甲
card_config,23009,name,锁子甲
card_config,230091,name,锁子甲
card_config,230092,name,锁子甲
card_config,24009,name,锁子甲
card_config,240091,name,锁子甲
card_config,240092,name,锁子甲
card_config,25009,name,锁子甲
card_config,250091,name,锁子甲
card_config,250092,name,锁子甲
card_config,26009,name,锁子甲
card_config,260091,name,锁子甲
card_config,260092,name,锁子甲
card_config,21010,name,皮革甲
card_config,210101,name,皮革甲
card_config,210102,name,皮革甲
card_config,22010,name,皮革甲
card_config,220101,name,皮革甲
card_config,220102,name,皮革甲
card_config,23010,name,皮革甲
card_config,230101,name,皮革甲
card_config,230102,name,皮革甲
card_config,24010,name,皮革甲
card_config,240101,name,皮革甲
card_config,240102,name,皮革甲
card_config,25010,name,皮革甲
card_config,250101,name,皮革甲
card_config,250102,name,皮革甲
card_config,26010,name,皮革甲
card_config,260101,name,皮革甲
card_config,260102,name,皮革甲
card_config,21011,name,武僧甲
card_config,210111,name,武僧甲
card_config,210112,name,武僧甲
card_config,22011,name,武僧甲
card_config,220111,name,武僧甲
card_config,220112,name,武僧甲
card_config,23011,name,武僧甲
card_config,230111,name,武僧甲
card_config,230112,name,武僧甲
card_config,24011,name,武僧甲
card_config,240111,name,武僧甲
card_config,240112,name,武僧甲
card_config,25011,name,武僧甲
card_config,250111,name,武僧甲
card_config,250112,name,武僧甲
card_config,26011,name,武僧甲
card_config,260111,name,武僧甲
card_config,260112,name,武僧甲
card_config,21012,name,凶恶面具
card_config,210121,name,凶恶面具
card_config,210122,name,凶恶面具
card_config,22012,name,凶恶面具
card_config,220121,name,凶恶面具
card_config,220122,name,凶恶面具
card_config,23012,name,凶恶面具
card_config,230121,name,凶恶面具
card_config,230122,name,凶恶面具
card_config,24012,name,凶恶面具
card_config,240121,name,凶恶面具
card_config,240122,name,凶恶面具
card_config,25012,name,凶恶面具
card_config,250121,name,凶恶面具
card_config,250122,name,凶恶面具
card_config,26012,name,凶恶面具
card_config,260121,name,凶恶面具
card_config,260122,name,凶恶面具
card_config,21013,name,羽毛帽
card_config,210131,name,羽毛帽
card_config,210132,name,羽毛帽
card_config,22013,name,羽毛帽
card_config,220131,name,羽毛帽
card_config,220132,name,羽毛帽
card_config,23013,name,羽毛帽
card_config,230131,name,羽毛帽
card_config,230132,name,羽毛帽
card_config,24013,name,羽毛帽
card_config,240131,name,羽毛帽
card_config,240132,name,羽毛帽
card_config,25013,name,羽毛帽
card_config,250131,name,羽毛帽
card_config,250132,name,羽毛帽
card_config,26013,name,羽毛帽
card_config,260131,name,羽毛帽
card_config,260132,name,羽毛帽
card_config,21014,name,变换护腕
card_config,210141,name,变换护腕
