类型,索引,替换目标,文本值(英语）
text,task_reset_failed,,Reset failed
text,pve_no_limit,,Deck format no limit
text,task_daily_clean,,You have finished all tasks today， please come back tomorrow
text,task_reward_desc,,Here is your task reward
text,achievement_reward_desc,,Here is your achievement reward
text,task_complete,,Get reward
text,friend_title,,Rank in friends：%d
text,friend_name,,Player name#%s
text,invited_fight_msgbox_response,,%s rejected your invitation
text,invited_fight_msgbox_title,,Friendly match
text,arena_info_name,,Rules of Ladder Mode
text,arena_info_desc,,At the end of each match season，you will get a reward according to your highest ranking during the season.
text,arena_fight_msgbox_cancel,,%s has cancelled his request
text,pvp_confirm_btn_value,,Battle
text,battle_result_tips_info,,Reached today's ceiling
text,arena_bar_text,,Next rank:%s
text,pve_first_reward_desc,,Clear reward
text,pve_reward_desc,,Clear reward
text,loading_desc,,Update Version
text,guide_name_1,,Will
text,guide_name_2,,Challenger
text,enter_cdkey_code,,Enter gift code
text,redeem_failed,,Exchange failed
text,redeem_code_invalid,,Invalid gift code
text,redeem_code_used,,Gift code have already be used
text,gift_already_got,,Gift have already be received
text,redeem_code_error,,Incorrect gift code
text,equip_target_card_is_null,,Equip card must equiped on monster cards
text,adv_skilled_exam,,Player rank %d upgrade exam
text,exam_college,,Player college
text,exam_college_skilled,,Unlock when your exp is full in player rank 1
text,progress_text,,Progress
text,gerbil_tide_title,,— Gerbip Tide —
text,adv_main_title,,Adventure
text,battle_result_lost_desc,,Please continue
text,battle_result_win_desc,,Congratulations
text,battle_result_enemy,,Enemy
text,battle_result_self,,Self
text,battle_result_synthesis_desc,,You haven't got the card, you're going to compose it?
text,battle_result_upgrade_desc,,You have got the card, you're going to upgrade it?
text,upgrade_level,,Player level
text,upgrade_award,,Reward
card_config,110011,name,Triglodite
card_config,110012,name,Triglodite
card_config,110013,name,Triglodite
card_config,110014,name,Triglodite
card_config,110015,name,Triglodite
card_config,110021,name,Gloat
card_config,110022,name,Gloat
card_config,110023,name,Gloat
card_config,110024,name,Gloat
card_config,110025,name,Gloat
card_config,110031,name,Triclops
card_config,110032,name,Triclops
card_config,110033,name,Triclops
card_config,110034,name,Triclops
card_config,110035,name,Triclops
card_config,110036,name,Triclops
card_config,110041,name,Lost Explorer
card_config,110042,name,Lost Explorer
card_config,110043,name,Lost Explorer
card_config,110044,name,Lost Explorer
card_config,110045,name,Lost Explorer
card_config,110051,name,Wolf Rider
card_config,110052,name,Wolf Rider
card_config,110053,name,Wolf Rider
card_config,110054,name,Wolf Rider
card_config,110055,name,Wolf Rider
card_config,110056,name,Wolf Rider
card_config,110061,name,Headless
card_config,110062,name,Headless
card_config,110063,name,Headless
card_config,110064,name,Headless
card_config,110065,name,Headless
card_config,110066,name,Headless
card_config,110071,name,Admiral Eagle
card_config,110072,name,Admiral Eagle
card_config,110073,name,Admiral Eagle
card_config,110074,name,Admiral Eagle
card_config,110075,name,Admiral Eagle
card_config,110076,name,Admiral Eagle
card_config,110077,name,Admiral Eagle
card_config,110081,name,Captain Cacti
card_config,110082,name,Captain Cacti
card_config,110083,name,Captain Cacti
card_config,110084,name,Captain Cacti
card_config,110085,name,Captain Cacti
card_config,110086,name,Captain Cacti
card_config,110091,name,Red Dragon
card_config,110092,name,Red Dragon
card_config,110093,name,Red Dragon
card_config,110094,name,Red Dragon
card_config,110095,name,Red Dragon
card_config,110096,name,Red Dragon
card_config,110097,name,Red Dragon
card_config,110098,name,Red Dragon
card_config,110101,name,Twinaxe
card_config,110102,name,Twinaxe
card_config,110103,name,Twinaxe
card_config,110104,name,Twinaxe
card_config,110105,name,Twinaxe
card_config,110106,name,Twinaxe
card_config,110111,name,Whiterabbit
card_config,110112,name,Whiterabbit
card_config,110113,name,Whiterabbit
card_config,110114,name,Whiterabbit
card_config,110115,name,Whiterabbit
card_config,110116,name,Whiterabbit
card_config,110117,name,Whiterabbit
card_config,110118,name,Whiterabbit
card_config,110121,name,Kamicron
card_config,110122,name,Kamicron
card_config,110123,name,Kamicron
card_config,110124,name,Kamicron
card_config,110125,name,Kamicron
card_config,110126,name,Kamicron
card_config,110127,name,Kamicron
card_config,110131,name,Fisher Monger
card_config,110132,name,Fisher Monger
card_config,110133,name,Fisher Monger
card_config,110134,name,Fisher Monger
card_config,110135,name,Fisher Monger
card_config,110136,name,Fisher Monger
card_config,110137,name,Fisher Monger
card_config,110141,name,Cat Knight
card_config,110142,name,Cat Knight
card_config,110143,name,Cat Knight
card_config,110144,name,Cat Knight
card_config,110145,name,Cat Knight
card_config,110146,name,Cat Knight
card_config,110147,name,Cat Knight
card_config,110148,name,Cat Knight
card_config,110151,name,Snoozemon
card_config,110152,name,Snoozemon
card_config,110153,name,Snoozemon
card_config,110154,name,Snoozemon
card_config,110155,name,Snoozemon
card_config,110156,name,Snoozemon
card_config,110157,name,Snoozemon
card_config,110161,name,Fr.Silence
card_config,110162,name,Fr.Silence
card_config,110163,name,Fr.Silence
card_config,110164,name,Fr.Silence
card_config,110165,name,Fr.Silence
card_config,110171,name,Triglodite Marauders
card_config,110172,name,Triglodite Marauders
card_config,110173,name,Triglodite Marauders
card_config,110174,name,Triglodite Marauders
card_config,110175,name,Triglodite Marauders
card_config,110181,name,Barrier Knight
card_config,110182,name,Barrier Knight
card_config,110183,name,Barrier Knight
card_config,110184,name,Barrier Knight
card_config,110185,name,Barrier Knight
card_config,110186,name,Barrier Knight
card_config,110191,name,Eagle Archer
card_config,110192,name,Eagle Archer
card_config,110193,name,Eagle Archer
card_config,110194,name,Eagle Archer
card_config,110195,name,Eagle Archer
card_config,110196,name,Eagle Archer
card_config,120011,name,Lost Drums
card_config,120012,name,Lost Drums
card_config,120013,name,Lost Drums
card_config,120014,name,Lost Drums
card_config,120015,name,Lost Drums
card_config,120021,name,Dust Maiden
card_config,120022,name,Dust Maiden
card_config,120023,name,Dust Maiden
card_config,120024,name,Dust Maiden
card_config,120025,name,Dust Maiden
card_config,120031,name,Notarat
card_config,120032,name,Notarat
card_config,120033,name,Notarat
card_config,120034,name,Notarat
card_config,120035,name,Notarat
card_config,120041,name,Tux Shooter
card_config,120042,name,Tux Shooter
card_config,120043,name,Tux Shooter
card_config,120044,name,Tux Shooter
card_config,120045,name,Tux Shooter
card_config,120046,name,Tux Shooter
card_config,120051,name,Leezard
card_config,120052,name,Leezard
card_config,120053,name,Leezard
card_config,120054,name,Leezard
card_config,120055,name,Leezard
card_config,120056,name,Leezard
card_config,120061,name,Abobinable
card_config,120062,name,Abobinable
card_config,120063,name,Abobinable
card_config,120064,name,Abobinable
card_config,120065,name,Abobinable
card_config,120066,name,Abobinable
card_config,120071,name,Ninjafox
card_config,120072,name,Ninjafox
card_config,120073,name,Ninjafox
card_config,120074,name,Ninjafox
card_config,120075,name,Ninjafox
card_config,120076,name,Ninjafox
card_config,120077,name,Ninjafox
card_config,120081,name,Ninjutsurtle
card_config,120082,name,Ninjutsurtle
card_config,120083,name,Ninjutsurtle
card_config,120084,name,Ninjutsurtle
card_config,120085,name,Ninjutsurtle
card_config,120086,name,Ninjutsurtle
card_config,120087,name,Ninjutsurtle
card_config,120091,name,Lazydragon
card_config,120092,name,Lazydragon
card_config,120093,name,Lazydragon
card_config,120094,name,Lazydragon
card_config,120095,name,Lazydragon
card_config,120096,name,Lazydragon
card_config,120097,name,Lazydragon
card_config,120098,name,Lazydragon
card_config,120101,name,Flying Carpet
card_config,120102,name,Flying Carpet
card_config,120103,name,Flying Carpet
card_config,120104,name,Flying Carpet
card_config,120105,name,Flying Carpet
card_config,120106,name,Flying Carpet
card_config,120111,name,Crocodime
card_config,120112,name,Crocodime
card_config,120113,name,Crocodime
card_config,120114,name,Crocodime
card_config,120115,name,Crocodime
card_config,120116,name,Crocodime
card_config,120117,name,Crocodime
card_config,120121,name,Chimpbow
card_config,120122,name,Chimpbow
card_config,120123,name,Chimpbow
card_config,120124,name,Chimpbow
card_config,120125,name,Chimpbow
card_config,120126,name,Chimpbow
card_config,120127,name,Chimpbow
card_config,120131,name,Griffin
card_config,120132,name,Griffin
card_config,120133,name,Griffin
card_config,120134,name,Griffin
card_config,120135,name,Griffin
card_config,120136,name,Griffin
card_config,120137,name,Griffin
card_config,120141,name,Pirate Lobster
card_config,120142,name,Pirate Lobster
card_config,120143,name,Pirate Lobster
card_config,120144,name,Pirate Lobster
card_config,120145,name,Pirate Lobster
card_config,120146,name,Pirate Lobster
card_config,120147,name,Pirate Lobster
card_config,120148,name,Pirate Lobster
card_config,120151,name,Boocan
card_config,120152,name,Boocan
card_config,120153,name,Boocan
card_config,120154,name,Boocan
card_config,120155,name,Boocan
card_config,120156,name,Boocan
card_config,120157,name,Boocan
card_config,120158,name,Boocan
card_config,120161,name,Magic Carpet
card_config,120162,name,Magic Carpet
card_config,120163,name,Magic Carpet
card_config,120164,name,Magic Carpet
card_config,120165,name,Magic Carpet
card_config,120171,name,Qigong Leezard
card_config,120172,name,Qigong Leezard
card_config,120173,name,Qigong Leezard
card_config,120174,name,Qigong Leezard
card_config,120175,name,Qigong Leezard
card_config,120181,name,Mad Crocodime
card_config,120182,name,Mad Crocodime
card_config,120183,name,Mad Crocodime
card_config,120184,name,Mad Crocodime
card_config,120185,name,Mad Crocodime
card_config,120186,name,Mad Crocodime
card_config,120191,name,Breaker
card_config,120192,name,Breaker
card_config,120193,name,Breaker
card_config,120194,name,Breaker
card_config,120195,name,Breaker
card_config,120196,name,Breaker
card_config,130011,name,Sharp Flake
card_config,130012,name,Sharp Flake
card_config,130013,name,Sharp Flake
card_config,130014,name,Sharp Flake
card_config,130015,name,Sharp Flake
card_config,130021,name,Ghostshield
card_config,130022,name,Ghostshield
card_config,130023,name,Ghostshield
card_config,130024,name,Ghostshield
card_config,130025,name,Ghostshield
card_config,130031,name,Bookworm
card_config,130032,name,Bookworm
card_config,130033,name,Bookworm
card_config,130034,name,Bookworm
card_config,130035,name,Bookworm
card_config,130041,name,Snakecharmer
card_config,130042,name,Snakecharmer
card_config,130043,name,Snakecharmer
card_config,130044,name,Snakecharmer
card_config,130045,name,Snakecharmer
card_config,130046,name,Snakecharmer
card_config,130051,name,Fishcat
card_config,130052,name,Fishcat
card_config,130053,name,Fishcat
card_config,130054,name,Fishcat
card_config,130055,name,Fishcat
card_config,130056,name,Fishcat
card_config,130061,name,Frosty
card_config,130062,name,Frosty
card_config,130063,name,Frosty
card_config,130064,name,Frosty
card_config,130065,name,Frosty
card_config,130066,name,Frosty
card_config,130071,name,Snailmail
card_config,130072,name,Snailmail
card_config,130073,name,Snailmail
card_config,130074,name,Snailmail
card_config,130075,name,Snailmail
card_config,130076,name,Snailmail
card_config,130077,name,Snailmail
card_config,130081,name,Summitwitch
card_config,130082,name,Summitwitch
card_config,130083,name,Summitwitch
card_config,130084,name,Summitwitch
card_config,130085,name,Summitwitch
card_config,130086,name,Summitwitch
card_config,130087,name,Summitwitch
card_config,130091,name,Rock Monster
card_config,130092,name,Rock Monster
card_config,130093,name,Rock Monster
card_config,130094,name,Rock Monster
card_config,130095,name,Rock Monster
card_config,130096,name,Rock Monster
card_config,130097,name,Rock Monster
card_config,130098,name,Rock Monster
card_config,130101,name,Plaster
card_config,130102,name,Plaster
card_config,130103,name,Plaster
card_config,130104,name,Plaster
card_config,130105,name,Plaster
card_config,130106,name,Plaster
card_config,130111,name,Murble
card_config,130112,name,Murble
card_config,130113,name,Murble
card_config,130114,name,Murble
card_config,130115,name,Murble
card_config,130116,name,Murble
card_config,130117,name,Murble
card_config,130121,name,Moonkey
card_config,130122,name,Moonkey
card_config,130123,name,Moonkey
card_config,130124,name,Moonkey
card_config,130125,name,Moonkey
card_config,130126,name,Moonkey
card_config,130127,name,Moonkey
card_config,130131,name,Cloudy
card_config,130132,name,Cloudy
card_config,130133,name,Cloudy
card_config,130134,name,Cloudy
card_config,130135,name,Cloudy
card_config,130136,name,Cloudy
card_config,130137,name,Cloudy
card_config,130141,name,Calamity
card_config,130142,name,Calamity
card_config,130143,name,Calamity
card_config,130144,name,Calamity
card_config,130145,name,Calamity
card_config,130146,name,Calamity
card_config,130147,name,Calamity
card_config,130148,name,Calamity
card_config,130151,name,Archmage
card_config,130152,name,Archmage
card_config,130153,name,Archmage
card_config,130154,name,Archmage
card_config,130155,name,Archmage
card_config,130156,name,Archmage
card_config,130157,name,Archmage
card_config,130158,name,Archmage
card_config,130161,name,Spiked Flake
card_config,130162,name,Spiked Flake
card_config,130163,name,Spiked Flake
card_config,130164,name,Spiked Flake
card_config,130165,name,Spiked Flake
card_config,130171,name,Magic Worm
card_config,130172,name,Magic Worm
card_config,130173,name,Magic Worm
card_config,130174,name,Magic Worm
card_config,130175,name,Magic Worm
card_config,130181,name,Snail Garder
card_config,130182,name,Snail Garder
card_config,130183,name,Snail Garder
card_config,130184,name,Snail Garder
card_config,130185,name,Snail Garder
card_config,130186,name,Snail Garder
card_config,130191,name,Fishmon
card_config,130192,name,Fishmon
card_config,130193,name,Fishmon
card_config,130194,name,Fishmon
card_config,130195,name,Fishmon
card_config,130196,name,Fishmon
card_config,140011,name,Gerbip
card_config,140012,name,Gerbip
card_config,140013,name,Gerbip
card_config,140014,name,Gerbip
card_config,140015,name,Gerbip
card_config,140021,name,Mushrhum
card_config,140022,name,Mushrhum
card_config,140023,name,Mushrhum
card_config,140024,name,Mushrhum
card_config,140025,name,Mushrhum
card_config,140031,name,Turkey
card_config,140032,name,Turkey
card_config,140033,name,Turkey
card_config,140034,name,Turkey
card_config,140035,name,Turkey
card_config,140041,name,Butterbat
card_config,140042,name,Butterbat
card_config,140043,name,Butterbat
card_config,140044,name,Butterbat
card_config,140045,name,Butterbat
card_config,140046,name,Butterbat
card_config,140051,name,Lapia
card_config,140052,name,Lapia
card_config,140053,name,Lapia
card_config,140054,name,Lapia
card_config,140055,name,Lapia
card_config,140056,name,Lapia
card_config,140061,name,Furryspider
card_config,140062,name,Furryspider
card_config,140063,name,Furryspider
card_config,140064,name,Furryspider
card_config,140065,name,Furryspider
card_config,140066,name,Furryspider
card_config,140071,name,Polar Lizard
card_config,140072,name,Polar Lizard
card_config,140073,name,Polar Lizard
card_config,140074,name,Polar Lizard
card_config,140075,name,Polar Lizard
card_config,140076,name,Polar Lizard
card_config,140077,name,Polar Lizard
card_config,140081,name,Frock
card_config,140082,name,Frock
card_config,140083,name,Frock
card_config,140084,name,Frock
card_config,140085,name,Frock
card_config,140086,name,Frock
card_config,140087,name,Frock
card_config,140091,name,Flying Snake
card_config,140092,name,Flying Snake
card_config,140093,name,Flying Snake
card_config,140094,name,Flying Snake
card_config,140095,name,Flying Snake
card_config,140096,name,Flying Snake
card_config,140097,name,Flying Snake
card_config,140098,name,Flying Snake
card_config,140101,name,Eelectric
card_config,140102,name,Eelectric
card_config,140103,name,Eelectric
card_config,140104,name,Eelectric
card_config,140105,name,Eelectric
card_config,140106,name,Eelectric
card_config,140111,name,Belican
card_config,140112,name,Belican
card_config,140113,name,Belican
card_config,140114,name,Belican
card_config,140115,name,Belican
card_config,140116,name,Belican
card_config,140117,name,Belican
card_config,140121,name,Tiker
card_config,140122,name,Tiker
card_config,140123,name,Tiker
card_config,140124,name,Tiker
card_config,140125,name,Tiker
card_config,140126,name,Tiker
card_config,140127,name,Tiker
card_config,140131,name,Sabershark
card_config,140132,name,Sabershark
card_config,140133,name,Sabershark
card_config,140134,name,Sabershark
card_config,140135,name,Sabershark
card_config,140136,name,Sabershark
card_config,140137,name,Sabershark
card_config,140141,name,Squidiver
card_config,140142,name,Squidiver
card_config,140143,name,Squidiver
card_config,140144,name,Squidiver
card_config,140145,name,Squidiver
card_config,140146,name,Squidiver
card_config,140147,name,Squidiver
card_config,140148,name,Squidiver
card_config,140151,name,Kingmushrhum
card_config,140152,name,Kingmushrhum
card_config,140153,name,Kingmushrhum
card_config,140154,name,Kingmushrhum
card_config,140155,name,Kingmushrhum
card_config,140156,name,Kingmushrhum
card_config,140157,name,Kingmushrhum
card_config,140158,name,Kingmushrhum
card_config,140161,name,Armor Spider
card_config,140162,name,Armor Spider
card_config,140163,name,Armor Spider
card_config,140164,name,Armor Spider
card_config,140165,name,Armor Spider
card_config,140171,name,Healmushrhum
card_config,140172,name,Healmushrhum
card_config,140173,name,Healmushrhum
card_config,140174,name,Healmushrhum
card_config,140175,name,Healmushrhum
card_config,140181,name,Vigilant Turkey
card_config,140182,name,Vigilant Turkey
card_config,140183,name,Vigilant Turkey
card_config,140184,name,Vigilant Turkey
card_config,140185,name,Vigilant Turkey
card_config,140186,name,Vigilant Turkey
card_config,140191,name,Cryeel
card_config,140192,name,Cryeel
card_config,140193,name,Cryeel
card_config,140194,name,Cryeel
card_config,140195,name,Cryeel
card_config,140196,name,Cryeel
card_config,149018,name,Gerbip king
card_config,150011,name,Staglamite
card_config,150012,name,Staglamite
card_config,150013,name,Staglamite
card_config,150014,name,Staglamite
card_config,150015,name,Staglamite
card_config,150021,name,Bloglodyte
card_config,150022,name,Bloglodyte
card_config,150023,name,Bloglodyte
card_config,150024,name,Bloglodyte
card_config,150025,name,Bloglodyte
card_config,150031,name,Pileogoo
card_config,150032,name,Pileogoo
card_config,150033,name,Pileogoo
card_config,150034,name,Pileogoo
card_config,150035,name,Pileogoo
card_config,150041,name,Lava Ooze
card_config,150042,name,Lava Ooze
card_config,150043,name,Lava Ooze
card_config,150044,name,Lava Ooze
card_config,150045,name,Lava Ooze
card_config,150046,name,Lava Ooze
card_config,150051,name,Zombull
card_config,150052,name,Zombull
card_config,150053,name,Zombull
card_config,150054,name,Zombull
card_config,150055,name,Zombull
card_config,150056,name,Zombull
card_config,150061,name,Skeleton
card_config,150062,name,Skeleton
card_config,150063,name,Skeleton
card_config,150064,name,Skeleton
card_config,150065,name,Skeleton
card_config,150066,name,Skeleton
card_config,150071,name,Acolyte
card_config,150072,name,Acolyte
card_config,150073,name,Acolyte
card_config,150074,name,Acolyte
card_config,150075,name,Acolyte
card_config,150076,name,Acolyte
card_config,150077,name,Acolyte
card_config,150081,name,Demon Dwarf
card_config,150082,name,Demon Dwarf
card_config,150083,name,Demon Dwarf
card_config,150084,name,Demon Dwarf
card_config,150085,name,Demon Dwarf
card_config,150086,name,Demon Dwarf
card_config,150087,name,Demon Dwarf
card_config,150091,name,Musculard
card_config,150092,name,Musculard
card_config,150093,name,Musculard
card_config,150094,name,Musculard
card_config,150095,name,Musculard
card_config,150096,name,Musculard
card_config,150097,name,Musculard
card_config,150098,name,Musculard
card_config,150101,name,Sky Drake
card_config,150102,name,Sky Drake
card_config,150103,name,Sky Drake
card_config,150104,name,Sky Drake
card_config,150105,name,Sky Drake
card_config,150106,name,Sky Drake
card_config,150111,name,Dungeonmaster
card_config,150112,name,Dungeonmaster
card_config,150113,name,Dungeonmaster
card_config,150114,name,Dungeonmaster
card_config,150115,name,Dungeonmaster
card_config,150116,name,Dungeonmaster
card_config,150117,name,Dungeonmaster
card_config,150118,name,Dungeonmaster
card_config,150121,name,Giantrat
card_config,150122,name,Giantrat
card_config,150123,name,Giantrat
card_config,150124,name,Giantrat
card_config,150125,name,Giantrat
card_config,150126,name,Giantrat
card_config,150127,name,Giantrat
card_config,150131,name,Whisp
card_config,150132,name,Whisp
card_config,150133,name,Whisp
card_config,150134,name,Whisp
card_config,150135,name,Whisp
card_config,150136,name,Whisp
card_config,150137,name,Whisp
card_config,150141,name,Blue Dragon
card_config,150142,name,Blue Dragon
card_config,150143,name,Blue Dragon
card_config,150144,name,Blue Dragon
card_config,150145,name,Blue Dragon
card_config,150146,name,Blue Dragon
card_config,150147,name,Blue Dragon
card_config,150148,name,Blue Dragon
card_config,150151,name,Aeon
card_config,150152,name,Aeon
card_config,150153,name,Aeon
card_config,150154,name,Aeon
card_config,150155,name,Aeon
card_config,150156,name,Aeon
card_config,150157,name,Aeon
card_config,150161,name,Arcane Garbage
card_config,150162,name,Arcane Garbage
card_config,150163,name,Arcane Garbage
card_config,150164,name,Arcane Garbage
card_config,150165,name,Arcane Garbage
card_config,150171,name,Big Pliers
card_config,150172,name,Big Pliers
card_config,150173,name,Big Pliers
card_config,150174,name,Big Pliers
card_config,150175,name,Big Pliers
card_config,150181,name,Naughty Imp
card_config,150182,name,Naughty Imp
card_config,150183,name,Naughty Imp
card_config,150184,name,Naughty Imp
card_config,150185,name,Naughty Imp
card_config,150186,name,Naughty Imp
card_config,150191,name,Mad Dwarf
card_config,150192,name,Mad Dwarf
card_config,150193,name,Mad Dwarf
card_config,150194,name,Mad Dwarf
card_config,150195,name,Mad Dwarf
card_config,150196,name,Mad Dwarf
card_config,21001,name,Plain Clothes
card_config,210011,name,Plain Clothes
card_config,210012,name,Plain Clothes
card_config,22001,name,Plain Clothes
card_config,220011,name,Plain Clothes
card_config,220012,name,Plain Clothes
card_config,23001,name,Plain Clothes
card_config,230011,name,Plain Clothes
card_config,230012,name,Plain Clothes
card_config,24001,name,Plain Clothes
card_config,240011,name,Plain Clothes
card_config,240012,name,Plain Clothes
card_config,25001,name,Plain Clothes
card_config,250011,name,Plain Clothes
card_config,250012,name,Plain Clothes
card_config,26001,name,Plain Clothes
card_config,260011,name,Plain Clothes
card_config,260012,name,Plain Clothes
card_config,21002,name,Metal Cap
card_config,210021,name,Metal Cap
card_config,210022,name,Metal Cap
card_config,22002,name,Metal Cap
card_config,220021,name,Metal Cap
card_config,220022,name,Metal Cap
card_config,23002,name,Metal Cap
card_config,230021,name,Metal Cap
card_config,230022,name,Metal Cap
card_config,24002,name,Metal Cap
card_config,240021,name,Metal Cap
card_config,240022,name,Metal Cap
card_config,25002,name,Metal Cap
card_config,250021,name,Metal Cap
card_config,250022,name,Metal Cap
card_config,26002,name,Metal Cap
card_config,260021,name,Metal Cap
card_config,260022,name,Metal Cap
card_config,21003,name,Spiked Leggings
card_config,210031,name,Spiked Leggings
card_config,210032,name,Spiked Leggings
card_config,22003,name,Spiked Leggings
card_config,220031,name,Spiked Leggings
card_config,220032,name,Spiked Leggings
card_config,23003,name,Spiked Leggings
card_config,230031,name,Spiked Leggings
card_config,230032,name,Spiked Leggings
card_config,24003,name,Spiked Leggings
card_config,240031,name,Spiked Leggings
card_config,240032,name,Spiked Leggings
card_config,25003,name,Spiked Leggings
card_config,250031,name,Spiked Leggings
card_config,250032,name,Spiked Leggings
card_config,26003,name,Spiked Leggings
card_config,260031,name,Spiked Leggings
card_config,260032,name,Spiked Leggings
card_config,21004,name,Heavy Gloves
card_config,210041,name,Heavy Gloves
card_config,210042,name,Heavy Gloves
card_config,22004,name,Heavy Gloves
card_config,220041,name,Heavy Gloves
card_config,220042,name,Heavy Gloves
card_config,23004,name,Heavy Gloves
card_config,230041,name,Heavy Gloves
card_config,230042,name,Heavy Gloves
card_config,24004,name,Heavy Gloves
card_config,240041,name,Heavy Gloves
card_config,240042,name,Heavy Gloves
card_config,25004,name,Heavy Gloves
card_config,250041,name,Heavy Gloves
card_config,250042,name,Heavy Gloves
card_config,26004,name,Heavy Gloves
card_config,260041,name,Heavy Gloves
card_config,260042,name,Heavy Gloves
card_config,21005,name,Fur Armor
card_config,210051,name,Fur Armor
card_config,210052,name,Fur Armor
card_config,22005,name,Fur Armor
card_config,220051,name,Fur Armor
card_config,220052,name,Fur Armor
card_config,23005,name,Fur Armor
card_config,230051,name,Fur Armor
card_config,230052,name,Fur Armor
card_config,24005,name,Fur Armor
card_config,240051,name,Fur Armor
card_config,240052,name,Fur Armor
card_config,25005,name,Fur Armor
card_config,250051,name,Fur Armor
card_config,250052,name,Fur Armor
card_config,26005,name,Fur Armor
card_config,260051,name,Fur Armor
card_config,260052,name,Fur Armor
card_config,22006,name,Thief Cloak
card_config,220061,name,Thief Cloak
card_config,220062,name,Thief Cloak
card_config,23006,name,Thief Cloak
card_config,230061,name,Thief Cloak
card_config,230062,name,Thief Cloak
card_config,24006,name,Thief Cloak
card_config,240061,name,Thief Cloak
card_config,240062,name,Thief Cloak
card_config,25006,name,Thief Cloak
card_config,250061,name,Thief Cloak
card_config,250062,name,Thief Cloak
card_config,26006,name,Thief Cloak
card_config,260061,name,Thief Cloak
card_config,260062,name,Thief Cloak
card_config,21007,name,Unused Gloves
card_config,210071,name,Unused Gloves
card_config,210072,name,Unused Gloves
card_config,22007,name,Unused Gloves
card_config,220071,name,Unused Gloves
card_config,220072,name,Unused Gloves
card_config,23007,name,Unused Gloves
card_config,230071,name,Unused Gloves
card_config,230072,name,Unused Gloves
card_config,24007,name,Unused Gloves
card_config,240071,name,Unused Gloves
card_config,240072,name,Unused Gloves
card_config,25007,name,Unused Gloves
card_config,250071,name,Unused Gloves
card_config,250072,name,Unused Gloves
card_config,26007,name,Unused Gloves
card_config,260071,name,Unused Gloves
card_config,260072,name,Unused Gloves
card_config,22008,name,Sight Bracers
card_config,220081,name,Sight Bracers
card_config,220082,name,Sight Bracers
card_config,23008,name,Sight Bracers
card_config,230081,name,Sight Bracers
card_config,230082,name,Sight Bracers
card_config,24008,name,Sight Bracers
card_config,240081,name,Sight Bracers
card_config,240082,name,Sight Bracers
card_config,26008,name,Sight Bracers
card_config,260081,name,Sight Bracers
card_config,260082,name,Sight Bracers
card_config,21009,name,Chain Mail
card_config,210091,name,Chain Mail
card_config,210092,name,Chain Mail
card_config,22009,name,Chain Mail
card_config,220091,name,Chain Mail
card_config,220092,name,Chain Mail
card_config,23009,name,Chain Mail
card_config,230091,name,Chain Mail
card_config,230092,name,Chain Mail
card_config,24009,name,Chain Mail
card_config,240091,name,Chain Mail
card_config,240092,name,Chain Mail
card_config,25009,name,Chain Mail
card_config,250091,name,Chain Mail
card_config,250092,name,Chain Mail
card_config,26009,name,Chain Mail
card_config,260091,name,Chain Mail
card_config,260092,name,Chain Mail
card_config,21010,name,Leather Armor
card_config,210101,name,Leather Armor
card_config,210102,name,Leather Armor
card_config,22010,name,Leather Armor
card_config,220101,name,Leather Armor
card_config,220102,name,Leather Armor
card_config,23010,name,Leather Armor
card_config,230101,name,Leather Armor
card_config,230102,name,Leather Armor
card_config,24010,name,Leather Armor
card_config,240101,name,Leather Armor
card_config,240102,name,Leather Armor
card_config,25010,name,Leather Armor
card_config,250101,name,Leather Armor
card_config,250102,name,Leather Armor
card_config,26010,name,Leather Armor
card_config,260101,name,Leather Armor
card_config,260102,name,Leather Armor
card_config,21011,name,Monk Armor
card_config,210111,name,Monk Armor
card_config,210112,name,Monk Armor
card_config,22011,name,Monk Armor
card_config,220111,name,Monk Armor
card_config,220112,name,Monk Armor
card_config,23011,name,Monk Armor
card_config,230111,name,Monk Armor
card_config,230112,name,Monk Armor
card_config,24011,name,Monk Armor
card_config,240111,name,Monk Armor
card_config,240112,name,Monk Armor
card_config,25011,name,Monk Armor
card_config,250111,name,Monk Armor
card_config,250112,name,Monk Armor
card_config,26011,name,Monk Armor
card_config,260111,name,Monk Armor
card_config,260112,name,Monk Armor
card_config,21012,name,Ferocious Mask
card_config,210121,name,Ferocious Mask
card_config,210122,name,Ferocious Mask
card_config,22012,name,Ferocious Mask
card_config,220121,name,Ferocious Mask
card_config,220122,name,Ferocious Mask
card_config,23012,name,Ferocious Mask
card_config,230121,name,Ferocious Mask
card_config,230122,name,Ferocious Mask
card_config,24012,name,Ferocious Mask
card_config,240121,name,Ferocious Mask
card_config,240122,name,Ferocious Mask
card_config,25012,name,Ferocious Mask
card_config,250121,name,Ferocious Mask
card_config,250122,name,Ferocious Mask
card_config,26012,name,Ferocious Mask
card_config,260121,name,Ferocious Mask
card_config,260122,name,Ferocious Mask
card_config,21013,name,Feather Cap
card_config,210131,name,Feather Cap
card_config,210132,name,Feather Cap
card_config,22013,name,Feather Cap
card_config,220131,name,Feather Cap
card_config,220132,name,Feather Cap
card_config,23013,name,Feather Cap
card_config,230131,name,Feather Cap
card_config,230132,name,Feather Cap
card_config,24013,name,Feather Cap
card_config,240131,name,Feather Cap
