卡牌ID,卡牌ID,下一级别卡牌ID,需求游戏币,需求代币,需求材料2,需求材料3,需求材料4,需求材料5,需求材料6,需求材料7,需求材料8,需求材料9
407,140192,140193,88,,item|100001|72,item|400001|3,,,,,,
408,140193,140194,212,,item|100001|132,item|400001|8,,,,,,
409,140194,140195,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
410,140195,140196,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
411,150011,150012,25,,item|100001|39,item|400001|1,,,,,,
412,150012,150013,77,,item|100001|63,item|400001|3,,,,,,
413,150013,150014,186,,item|100001|116,item|400001|7,,,,,,
414,150014,150015,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
415,150021,150022,25,,item|100001|39,item|400001|1,,,,,,
416,150022,150023,77,,item|100001|63,item|400001|3,,,,,,
417,150023,150024,186,,item|100001|116,item|400001|7,,,,,,
418,150024,150025,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
419,150031,150032,25,,item|100001|39,item|400001|1,,,,,,
420,150032,150033,77,,item|100001|63,item|400001|3,,,,,,
421,150033,150034,186,,item|100001|116,item|400001|7,,,,,,
422,150034,150035,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
423,150041,150042,28,,item|100001|44,item|400001|1,,,,,,
424,150042,150043,88,,item|100001|72,item|400001|3,,,,,,
425,150043,150044,212,,item|100001|132,item|400001|8,,,,,,
426,150044,150045,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
427,150045,150046,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
428,150051,150052,28,,item|100001|44,item|400001|1,,,,,,
429,150052,150053,88,,item|100001|72,item|400001|3,,,,,,
430,150053,150054,212,,item|100001|132,item|400001|8,,,,,,
431,150054,150055,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
432,150055,150056,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
433,150061,150062,28,,item|100001|44,item|400001|1,,,,,,
434,150062,150063,88,,item|100001|72,item|400001|3,,,,,,
435,150063,150064,212,,item|100001|132,item|400001|8,,,,,,
436,150064,150065,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
437,150065,150066,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
438,150071,150072,32,,item|100001|50,item|400001|1,,,,,,
439,150072,150073,99,,item|100001|81,item|400001|3,,,,,,
440,150073,150074,239,,item|100001|149,item|400001|9,,,,,,
441,150074,150075,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
442,150075,150076,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
443,150076,150077,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
444,150081,150082,32,,item|100001|50,item|400001|1,,,,,,
445,150082,150083,99,,item|100001|81,item|400001|3,,,,,,
446,150083,150084,239,,item|100001|149,item|400001|9,,,,,,
447,150084,150085,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
448,150085,150086,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
449,150086,150087,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
450,150091,150092,35,,item|100001|55,item|400001|1,,,,,,
451,150092,150093,110,,item|100001|90,item|400001|3,,,,,,
452,150093,150094,265,,item|100001|165,item|400001|9,,,,,,
453,150094,150095,605,,item|100001|270,item|400001|21,item|300004|1,,,,,
454,150095,150096,1135,,item|100001|440,item|400001|44,item|300004|1,,,,,
455,150096,150097,2100,,item|100001|670,item|400001|80,item|300004|2,,,,,
456,150097,150098,3330,,item|100001|930,item|400001|133,item|300004|2,,,,,
457,150101,150102,28,,item|100001|44,item|400001|1,,,,,,
458,150102,150103,88,,item|100001|72,item|400001|3,,,,,,
459,150103,150104,212,,item|100001|132,item|400001|8,,,,,,
460,150104,150105,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
461,150105,150106,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
462,150111,150112,35,,item|100001|55,item|400001|1,,,,,,
463,150112,150113,110,,item|100001|90,item|400001|3,,,,,,
464,150113,150114,265,,item|100001|165,item|400001|9,,,,,,
465,150114,150115,605,,item|100001|270,item|400001|21,item|300004|1,,,,,
466,150115,150116,1135,,item|100001|440,item|400001|44,item|300004|1,,,,,
467,150116,150117,2100,,item|100001|670,item|400001|80,item|300004|2,,,,,
468,150117,150118,3330,,item|100001|930,item|400001|133,item|300004|2,,,,,
469,150121,150122,32,,item|100001|50,item|400001|1,,,,,,
470,150122,150123,99,,item|100001|81,item|400001|3,,,,,,
471,150123,150124,239,,item|100001|149,item|400001|9,,,,,,
472,150124,150125,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
473,150125,150126,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
474,150126,150127,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
475,150131,150132,32,,item|100001|50,item|400001|1,,,,,,
476,150132,150133,99,,item|100001|81,item|400001|3,,,,,,
477,150133,150134,239,,item|100001|149,item|400001|9,,,,,,
478,150134,150135,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
479,150135,150136,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
480,150136,150137,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
481,150141,150142,35,,item|100001|55,item|400001|1,,,,,,
482,150142,150143,110,,item|100001|90,item|400001|3,,,,,,
483,150143,150144,265,,item|100001|165,item|400001|9,,,,,,
484,150144,150145,605,,item|100001|270,item|400001|21,item|300004|1,,,,,
485,150145,150146,1135,,item|100001|440,item|400001|44,item|300004|1,,,,,
486,150146,150147,2100,,item|100001|670,item|400001|80,item|300004|2,,,,,
487,150147,150148,3330,,item|100001|930,item|400001|133,item|300004|2,,,,,
488,150151,150152,32,,item|100001|50,item|400001|1,,,,,,
489,150152,150153,99,,item|100001|81,item|400001|3,,,,,,
490,150153,150154,239,,item|100001|149,item|400001|9,,,,,,
491,150154,150155,545,,item|100001|243,item|400001|19,item|300003|1,,,,,
492,150155,150156,1022,,item|100001|396,item|400001|40,item|300003|1,,,,,
493,150156,150157,1890,,item|100001|603,item|400001|72,item|300003|2,,,,,
494,150161,150162,25,,item|100001|39,item|400001|1,,,,,,
495,150162,150163,77,,item|100001|63,item|400001|3,,,,,,
496,150163,150164,186,,item|100001|116,item|400001|7,,,,,,
497,150164,150165,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
498,150171,150172,25,,item|100001|39,item|400001|1,,,,,,
499,150172,150173,77,,item|100001|63,item|400001|3,,,,,,
500,150173,150174,186,,item|100001|116,item|400001|7,,,,,,
501,150174,150175,424,,item|100001|189,item|400001|15,item|300001|1,,,,,
502,150181,150182,28,,item|100001|44,item|400001|1,,,,,,
503,150182,150183,88,,item|100001|72,item|400001|3,,,,,,
504,150183,150184,212,,item|100001|132,item|400001|8,,,,,,
505,150184,150185,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
506,150185,150186,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
507,150191,150192,28,,item|100001|44,item|400001|1,,,,,,
508,150192,150193,88,,item|100001|72,item|400001|3,,,,,,
509,150193,150194,212,,item|100001|132,item|400001|8,,,,,,
510,150194,150195,484,,item|100001|216,item|400001|17,item|300002|1,,,,,
511,150195,150196,908,,item|100001|352,item|400001|36,item|300002|1,,,,,
512,21001,210011,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
513,210011,210012,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
514,22001,220011,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
515,220011,220012,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
516,23001,230011,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
517,230011,230012,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
518,24001,240011,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
519,240011,240012,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
520,25001,250011,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
521,250011,250012,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
522,26001,260011,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
523,260011,260012,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
524,21002,210021,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
525,210021,210022,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
526,22002,220021,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
527,220021,220022,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
528,23002,230021,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
529,230021,230022,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
530,24002,240021,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
531,240021,240022,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
532,25002,250021,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
533,250021,250022,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
534,26002,260021,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
535,260021,260022,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
536,21003,210031,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
537,210031,210032,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
538,22003,220031,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
539,220031,220032,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
540,23003,230031,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
541,230031,230032,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
542,24003,240031,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
543,240031,240032,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
544,25003,250031,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
545,250031,250032,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
546,26003,260031,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
547,260031,260032,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
548,21004,210041,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
549,210041,210042,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
550,22004,220041,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
551,220041,220042,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
552,23004,230041,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
553,230041,230042,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
554,24004,240041,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
555,240041,240042,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
556,25004,250041,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
557,250041,250042,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
558,26004,260041,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
559,260041,260042,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
560,21005,210051,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
561,210051,210052,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
562,22005,220051,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
563,220051,220052,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
564,23005,230051,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
565,230051,230052,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
566,24005,240051,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
567,240051,240052,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
568,25005,250051,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
569,250051,250052,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
570,26005,260051,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
571,260051,260052,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
572,22006,220061,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
573,220061,220062,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
574,23006,230061,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
575,230061,230062,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
576,24006,240061,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
577,240061,240062,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
578,25006,250061,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
579,250061,250062,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
580,26006,260061,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
581,260061,260062,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
582,21007,210071,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
583,210071,210072,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
584,22007,220071,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
585,220071,220072,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
586,23007,230071,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
587,230071,230072,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
588,24007,240071,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
589,240071,240072,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
590,25007,250071,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
591,250071,250072,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
592,26007,260071,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
593,260071,260072,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
594,22008,220081,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
595,220081,220082,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
596,23008,230081,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
597,230081,230082,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
598,24008,240081,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
599,240081,240082,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
600,26008,260081,735,,item|200001|231,item|400001|26,item|300001|2,,,,,
601,260081,260082,2568,,item|200001|404,item|400001|98,item|300001|4,,,,,
602,21009,210091,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
603,210091,210092,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
604,22009,220091,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
605,220091,220092,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
606,23009,230091,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
607,230091,230092,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
608,24009,240091,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
609,240091,240092,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
610,25009,250091,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
611,250091,250092,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
612,26009,260091,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
613,260091,260092,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
614,21010,210101,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
615,210101,210102,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
616,22010,220101,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
617,220101,220102,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
618,23010,230101,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
619,230101,230102,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
620,24010,240101,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
621,240101,240102,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
622,25010,250101,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
623,250101,250102,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
624,26010,260101,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
625,260101,260102,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
626,21011,210111,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
627,210111,210112,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
628,22011,220111,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
629,220111,220112,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
630,23011,230111,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
631,230111,230112,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
632,24011,240111,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
633,240111,240112,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
634,25011,250111,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
635,250111,250112,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
636,26011,260111,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
637,260111,260112,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
638,21012,210121,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
639,210121,210122,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
640,22012,220121,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
641,220121,220122,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
642,23012,230121,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
643,230121,230122,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
644,24012,240121,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
645,240121,240122,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
646,25012,250121,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
647,250121,250122,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
648,26012,260121,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
649,260121,260122,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
650,21013,210131,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
651,210131,210132,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
652,22013,220131,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
653,220131,220132,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
654,23013,230131,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
655,230131,230132,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
656,24013,240131,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
657,240131,240132,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
658,25013,250131,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
659,250131,250132,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
660,26013,260131,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
661,260131,260132,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
662,21014,210141,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
663,210141,210142,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
664,22014,220141,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
665,220141,220142,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
666,23014,230141,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
667,230141,230142,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
668,24014,240141,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
669,240141,240142,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
670,25014,250141,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
671,250141,250142,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
672,26014,260141,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
673,260141,260142,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
674,21015,210151,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
675,210151,210152,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
676,22015,220151,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
677,220151,220152,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
678,23015,230151,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
679,230151,230152,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
680,24015,240151,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
681,240151,240152,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
682,25015,250151,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
683,250151,250152,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
684,26015,260151,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
685,260151,260152,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
686,21016,210161,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
687,210161,210162,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
688,22016,220161,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
689,220161,220162,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
690,24016,240161,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
691,240161,240162,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
692,25016,250161,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
693,250161,250162,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
694,26016,260161,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
695,260161,260162,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
696,21017,210171,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
697,210171,210172,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
698,22017,220171,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
699,220171,220172,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
700,23017,230171,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
701,230171,230172,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
702,24017,240171,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
703,240171,240172,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
704,26017,260171,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
705,260171,260172,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
706,22018,220181,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
707,220181,220182,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
708,23018,230181,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
709,230181,230182,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
710,24018,240181,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
711,240181,240182,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
712,25018,250181,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
713,250181,250182,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
714,26018,260181,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
715,260181,260182,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
716,21019,210191,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
717,210191,210192,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
718,23019,230191,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
719,230191,230192,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
720,24019,240191,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
721,240191,240192,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
722,25019,250191,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
723,250191,250192,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
724,26019,260191,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
725,260191,260192,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
726,21020,210201,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
727,210201,210202,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
728,22020,220201,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
729,220201,220202,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
730,23020,230201,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
731,230201,230202,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
732,25020,250201,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
733,250201,250202,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
734,26020,260201,932,,item|200001|292,item|400001|32,item|300002|2,,,,,
735,260201,260202,3260,,item|200001|512,item|400001|124,item|300002|4,,,,,
736,21021,210211,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
737,210211,210212,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
738,22021,220211,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
739,220211,220212,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
740,23021,230211,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
741,230211,230212,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
742,24021,240211,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
743,240211,240212,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
744,25021,250211,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
745,250211,250212,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
746,26021,260211,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
747,260211,260212,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
748,22022,220221,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
749,220221,220222,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
750,23022,230221,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
751,230221,230222,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
752,24022,240221,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
753,240221,240222,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
754,26022,260221,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
755,260221,260222,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
756,22023,220231,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
757,220231,220232,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
758,23023,230231,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
759,230231,230232,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
760,24023,240231,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
761,240231,240232,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
762,26023,260231,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
763,260231,260232,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
764,22024,220241,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
765,220241,220242,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
766,23024,230241,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
767,230241,230242,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
768,24024,240241,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
769,240241,240242,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
770,25024,250241,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
771,250241,250242,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
772,26024,260241,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
773,260241,260242,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
774,21025,210251,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
775,210251,210252,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
776,22025,220251,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
777,220251,220252,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
778,23025,230251,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
779,230251,230252,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
780,24025,240251,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
781,240251,240252,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
782,26025,260251,1049,,item|200001|329,item|400001|36,item|300003|2,,,,,
783,260251,260252,3668,,item|200001|576,item|400001|140,item|300003|4,,,,,
784,21026,210261,1165,,item|200001|365,item|400001|40,item|300004|2,,,,,
785,210261,210262,4075,,item|200001|640,item|400001|155,item|300004|4,,,,,
786,22026,220261,1165,,item|200001|365,item|400001|40,item|300004|2,,,,,
