卡牌ID,熟练度等级下限,熟练度等级上限,任务类型,参数1,参数2,参数3,参数4,结果,随机概率,奖励类型,奖励id,奖励数量,奖励类型,奖励id,奖励数量,描述
900012,9,9,2,fortune|chaos,monster,3,0,1,334,chest,46,1,resource,500001,10,召唤3个命运或混乱（黄色或紫色）怪物并获得1场胜利
900013,9,9,2,balance|nature,monster,3,0,1,334,chest,46,1,resource,500001,10,召唤3个平衡或自然（蓝色或绿色）怪物并获得1场胜利
900014,9,9,2,balance|chaos,monster,3,0,1,334,chest,46,1,resource,500001,10,召唤3个平衡或混乱（蓝色或紫色）怪物并获得1场胜利
900015,9,9,2,nature|chaos,monster,3,0,1,334,chest,46,1,resource,500001,10,召唤3个自然或混乱（绿色或紫色）怪物并获得1场胜利
900016,9,9,2,war,armor|equip|consume,2,0,1,334,chest,46,1,resource,500001,10,召唤2个战争（红色）道具并获得1场胜利
900017,9,9,2,fortune,armor|equip|consume,2,0,1,334,chest,46,1,resource,500001,10,召唤2个命运（黄色）道具并获得1场胜利
900018,9,9,2,balance,armor|equip|consume,2,0,1,334,chest,46,1,resource,500001,10,召唤2个平衡（蓝色）道具并获得1场胜利
900019,9,9,2,nature,armor|equip|consume,2,0,1,334,chest,46,1,resource,500001,10,召唤2个自然（绿色）道具并获得1场胜利
900020,9,9,2,chaos,armor|equip|consume,2,0,1,334,chest,46,1,resource,500001,10,召唤2个混乱（紫色）道具并获得1场胜利
900021,9,9,2,all,armor|equip|consume,2,0,1,334,chest,46,1,resource,500001,10,召唤2个全能（白色）道具并获得1场胜利
900022,9,9,2,war|fortune,armor|equip|consume,3,0,1,334,chest,46,1,resource,500001,10,召唤3个战争或命运（红色或黄色）道具并获得1场胜利
900023,9,9,2,war|balance,armor|equip|consume,3,0,1,334,chest,46,1,resource,500001,10,召唤3个战争或平衡（红色或蓝色）道具并获得1场胜利
900024,9,9,2,war|nature,armor|equip|consume,3,0,1,334,chest,46,1,resource,500001,10,召唤3个战争或自然（红色或绿色）道具并获得1场胜利
900025,9,9,2,war|chaos,armor|equip|consume,3,0,1,334,chest,46,1,resource,500001,10,召唤3个战争或混乱（红色或紫色）道具并获得1场胜利
900026,9,9,2,war|all,armor|equip|consume,3,0,1,334,chest,46,1,resource,500001,10,召唤3个战争或全能（红色或白色）道具并获得1场胜利
900027,9,9,2,fortune|balance,armor|equip|consume,3,0,1,334,chest,46,1,resource,500001,10,召唤3个命运或平衡（黄色或蓝色）道具并获得1场胜利
900028,9,9,2,fortune|nature,armor|equip|consume,3,0,1,334,chest,46,1,resource,500001,10,召唤3个命运或自然（黄色或绿色）道具并获得1场胜利
900029,9,9,2,fortune|chaos,armor|equip|consume,3,0,1,334,chest,46,1,resource,500001,10,召唤3个命运或混乱（黄色或紫色）道具并获得1场胜利
900030,9,9,2,fortune|all,armor|equip|consume,3,0,1,334,chest,46,1,resource,500001,10,召唤3个命运或全能（黄色或白色）道具并获得1场胜利
900031,9,9,2,balance|nature,armor|equip|consume,3,0,1,334,chest,46,1,resource,500001,10,召唤3个平衡或自然（蓝色或绿色）道具并获得1场胜利
900032,9,9,2,balance|chaos,armor|equip|consume,3,0,1,334,chest,46,1,resource,500001,10,召唤3个平衡或混乱（蓝色或紫色）道具并获得1场胜利
900033,9,9,2,balance|all,armor|equip|consume,3,0,1,334,chest,46,1,resource,500001,10,召唤3个平衡或全能（蓝色或紫色）道具并获得1场胜利
900034,9,9,2,nature|chaos,armor|equip|consume,3,0,1,334,chest,46,1,resource,500001,10,召唤3个自然或混乱（绿色或紫色）道具并获得1场胜利
900035,9,9,2,nature|all,armor|equip|consume,3,0,1,334,chest,46,1,resource,500001,10,召唤3个自然或全能（绿色或白色）道具并获得1场胜利
900036,9,9,2,chaos|all,armor|equip|consume,3,0,1,334,chest,46,1,resource,500001,10,召唤3个混乱或全能（紫色或白色）道具并获得1场胜利
900037,9,9,2,war,monster|armor|equip|consume,4,0,1,334,chest,46,1,resource,500001,10,召唤4个战争（红色）卡片并获得1场胜利
900038,9,9,2,fortune,monster|armor|equip|consume,4,0,1,334,chest,46,1,resource,500001,10,召唤4个命运（黄色）卡片并获得1场胜利
900039,9,9,2,balance,monster|armor|equip|consume,4,0,1,334,chest,46,1,resource,500001,10,召唤4个平衡（蓝色）卡片并获得1场胜利
900040,9,9,2,nature,monster|armor|equip|consume,4,0,1,334,chest,46,1,resource,500001,10,召唤4个自然（绿色）卡片并获得1场胜利
900041,9,9,2,chaos,monster|armor|equip|consume,4,0,1,334,chest,46,1,resource,500001,10,召唤4个混乱（紫色）卡片并获得1场胜利
900042,9,9,2,all,monster|armor|equip|consume,4,0,1,334,chest,46,1,resource,500001,10,召唤4个全能（白色）卡片并获得1场胜利
900043,9,9,2,war|fortune,monster|armor|equip|consume,5,0,1,334,chest,46,1,resource,500001,10,召唤5个战争或命运（红色或黄色）卡片并获得1场胜利
900044,9,9,2,war|balance,monster|armor|equip|consume,5,0,1,334,chest,46,1,resource,500001,10,召唤5个战争或平衡（红色或蓝色）卡片并获得1场胜利
900045,9,9,2,war|nature,monster|armor|equip|consume,5,0,1,334,chest,46,1,resource,500001,10,召唤5个战争或自然（红色或绿色）卡片并获得1场胜利
900046,9,9,2,war|chaos,monster|armor|equip|consume,5,0,1,334,chest,46,1,resource,500001,10,召唤5个战争或混乱（红色或紫色）卡片并获得1场胜利
900047,9,9,2,war|all,monster|armor|equip|consume,5,0,1,334,chest,46,1,resource,500001,10,召唤5个战争或全能（红色或白色）卡片并获得1场胜利
900048,9,9,2,fortune|balance,monster|armor|equip|consume,5,0,1,334,chest,46,1,resource,500001,10,召唤3个命运或平衡（黄色或蓝色）卡片并获得1场胜利
900049,9,9,2,fortune|nature,monster|armor|equip|consume,5,0,1,334,chest,46,1,resource,500001,10,召唤5个命运或自然（黄色或绿色）卡片并获得1场胜利
900050,9,9,2,fortune|chaos,monster|armor|equip|consume,5,0,1,334,chest,46,1,resource,500001,10,召唤5个命运或混乱（黄色或紫色）卡片并获得1场胜利
900051,9,9,2,fortune|all,monster|armor|equip|consume,5,0,1,334,chest,46,1,resource,500001,10,召唤5个命运或全能（黄色或白色）卡片并获得1场胜利
900052,9,9,2,balance|nature,monster|armor|equip|consume,5,0,1,334,chest,46,1,resource,500001,10,召唤5个平衡或自然（蓝色或绿色）卡片并获得1场胜利
900053,9,9,2,balance|chaos,monster|armor|equip|consume,5,0,1,334,chest,46,1,resource,500001,10,召唤5个平衡或混乱（蓝色或紫色）卡片并获得1场胜利
900054,9,9,2,balance|all,monster|armor|equip|consume,5,0,1,334,chest,46,1,resource,500001,10,召唤5个平衡或全能（蓝色或紫色）卡片并获得1场胜利
900055,9,9,2,nature|chaos,monster|armor|equip|consume,5,0,1,334,chest,46,1,resource,500001,10,召唤5个自然或混乱（绿色或紫色）卡片并获得1场胜利
900056,9,9,2,nature|all,monster|armor|equip|consume,5,0,1,334,chest,46,1,resource,500001,10,召唤5个自然或全能（绿色或白色）卡片并获得1场胜利
900057,9,9,2,chaos|all,monster|armor|equip|consume,5,0,1,334,chest,46,1,resource,500001,10,召唤5个混乱或全能（紫色或白色）卡片并获得1场胜利
900058,9,9,3,0,0,0,0,1,14962,chest,46,1,resource,500001,10,赢得一场胜利
900059,9,9,4,0,0,0,0,6,15000,chest,46,1,resource,500001,10,消灭6个怪物
900060,9,9,5,0,0,0,0,6,15000,chest,46,1,resource,500001,10,使用6个道具
900061,9,9,6,0,monster,2,2,4,1000,chest,46,1,resource,500001,10,召唤4个费用2以下的怪物（包含费用2）
900062,9,9,6,0,monster,3,2,5,1000,chest,46,1,resource,500001,10,召唤5个费用3以下的怪物（包含费用3）
900063,9,9,6,0,monster,4,2,6,1000,chest,46,1,resource,500001,10,召唤6个费用4以下的怪物（包含费用4）
900064,9,9,6,0,monster,2,1,5,1000,chest,46,1,resource,500001,10,召唤5个费用2以上的怪物（包含费用2）
900065,9,9,6,0,monster,3,1,4,1000,chest,46,1,resource,500001,10,召唤4个费用3以上的怪物（包含费用3）
900066,9,9,6,0,monster,4,1,3,1000,chest,46,1,resource,500001,10,召唤3个费用4以上的怪物（包含费用4）
900067,9,9,3,0,0,0,0,1,1000,chest,46,1,resource,500001,10,赢得一场胜利
900068,9,9,6,0,armor|equip|consume,2,2,4,1000,chest,46,1,resource,500001,10,召唤4个费用2以下的道具（包含费用2）
900069,9,9,6,0,armor|equip|consume,3,2,5,1000,chest,46,1,resource,500001,10,召唤5个费用3以下的道具（包含费用3）
900070,9,9,6,0,armor|equip|consume,4,2,6,1000,chest,46,1,resource,500001,10,召唤6个费用4以下的道具（包含费用4）
900071,9,9,6,0,armor|equip|consume,2,1,5,1000,chest,46,1,resource,500001,10,召唤5个费用2以上的道具（包含费用2）
900072,9,9,6,0,armor|equip|consume,3,1,4,1000,chest,46,1,resource,500001,10,召唤4个费用3以上的道具（包含费用3）
900073,9,9,6,0,armor|equip|consume,4,1,3,1000,chest,46,1,resource,500001,10,召唤3个费用4以上的道具（包含费用4）
900074,9,9,3,0,0,0,0,1,1000,chest,46,1,resource,500001,10,赢得一场胜利
900075,9,9,6,0,monster|armor|equip|consume,2,2,4,1000,chest,46,1,resource,500001,10,召唤4个费用2以下的卡片（包含费用2）
900076,9,9,6,0,monster|armor|equip|consume,3,2,5,1000,chest,46,1,resource,500001,10,召唤5个费用3以下的卡片（包含费用3）
900077,9,9,6,0,monster|armor|equip|consume,4,2,6,1000,chest,46,1,resource,500001,10,召唤6个费用4以下的卡片（包含费用4）
900078,9,9,6,0,monster|armor|equip|consume,2,1,5,1000,chest,46,1,resource,500001,10,召唤5个费用2以上的卡片（包含费用2）
900079,9,9,6,0,monster|armor|equip|consume,3,1,4,1000,chest,46,1,resource,500001,10,召唤4个费用3以上的卡片（包含费用3）
900080,9,9,6,0,monster|armor|equip|consume,4,1,3,1000,chest,46,1,resource,500001,10,召唤3个费用4以上的卡片（包含费用4）
900081,9,9,3,0,0,0,0,1,1000,chest,46,1,resource,500001,10,赢得一场胜利
900082,9,9,8,0,0,0,0,2,15000,chest,46,1,resource,500001,10,完成2次PVE胜利
1000001,10,10,2,war,monster,2,0,1,334,chest,47,1,resource,500001,10,召唤2个战争（红色）怪物并获得1场胜利
1000002,10,10,2,fortune,monster,2,0,1,334,chest,47,1,resource,500001,10,召唤2个命运（黄色）怪物并获得1场胜利
1000003,10,10,2,balance,monster,2,0,1,334,chest,47,1,resource,500001,10,召唤2个平衡（蓝色）怪物并获得1场胜利
1000004,10,10,2,nature,monster,2,0,1,334,chest,47,1,resource,500001,10,召唤2个自然（绿色）怪物并获得1场胜利
1000005,10,10,2,chaos,monster,2,0,1,334,chest,47,1,resource,500001,10,召唤2个混乱（紫色）怪物并获得1场胜利
1000006,10,10,2,war|fortune,monster,3,0,1,334,chest,47,1,resource,500001,10,召唤3个战争或命运（红色或黄色）怪物并获得1场胜利
1000007,10,10,2,war|balance,monster,3,0,1,334,chest,47,1,resource,500001,10,召唤3个战争或平衡（红色或蓝色）怪物并获得1场胜利
1000008,10,10,2,war|nature,monster,3,0,1,334,chest,47,1,resource,500001,10,召唤3个战争或自然（红色或绿色）怪物并获得1场胜利
1000009,10,10,2,war|chaos,monster,3,0,1,334,chest,47,1,resource,500001,10,召唤3个战争或混乱（红色或紫色）怪物并获得1场胜利
1000010,10,10,2,fortune|balance,monster,3,0,1,334,chest,47,1,resource,500001,10,召唤3个命运或平衡（黄色或蓝色）怪物并获得1场胜利
1000011,10,10,2,fortune|nature,monster,3,0,1,334,chest,47,1,resource,500001,10,召唤3个命运或自然（黄色或绿色）怪物并获得1场胜利
1000012,10,10,2,fortune|chaos,monster,3,0,1,334,chest,47,1,resource,500001,10,召唤3个命运或混乱（黄色或紫色）怪物并获得1场胜利
1000013,10,10,2,balance|nature,monster,3,0,1,334,chest,47,1,resource,500001,10,召唤3个平衡或自然（蓝色或绿色）怪物并获得1场胜利
1000014,10,10,2,balance|chaos,monster,3,0,1,334,chest,47,1,resource,500001,10,召唤3个平衡或混乱（蓝色或紫色）怪物并获得1场胜利
1000015,10,10,2,nature|chaos,monster,3,0,1,334,chest,47,1,resource,500001,10,召唤3个自然或混乱（绿色或紫色）怪物并获得1场胜利
1000016,10,10,2,war,armor|equip|consume,2,0,1,334,chest,47,1,resource,500001,10,召唤2个战争（红色）道具并获得1场胜利
1000017,10,10,2,fortune,armor|equip|consume,2,0,1,334,chest,47,1,resource,500001,10,召唤2个命运（黄色）道具并获得1场胜利
1000018,10,10,2,balance,armor|equip|consume,2,0,1,334,chest,47,1,resource,500001,10,召唤2个平衡（蓝色）道具并获得1场胜利
1000019,10,10,2,nature,armor|equip|consume,2,0,1,334,chest,47,1,resource,500001,10,召唤2个自然（绿色）道具并获得1场胜利
1000020,10,10,2,chaos,armor|equip|consume,2,0,1,334,chest,47,1,resource,500001,10,召唤2个混乱（紫色）道具并获得1场胜利
1000021,10,10,2,all,armor|equip|consume,2,0,1,334,chest,47,1,resource,500001,10,召唤2个全能（白色）道具并获得1场胜利
1000022,10,10,2,war|fortune,armor|equip|consume,3,0,1,334,chest,47,1,resource,500001,10,召唤3个战争或命运（红色或黄色）道具并获得1场胜利
1000023,10,10,2,war|balance,armor|equip|consume,3,0,1,334,chest,47,1,resource,500001,10,召唤3个战争或平衡（红色或蓝色）道具并获得1场胜利
1000024,10,10,2,war|nature,armor|equip|consume,3,0,1,334,chest,47,1,resource,500001,10,召唤3个战争或自然（红色或绿色）道具并获得1场胜利
1000025,10,10,2,war|chaos,armor|equip|consume,3,0,1,334,chest,47,1,resource,500001,10,召唤3个战争或混乱（红色或紫色）道具并获得1场胜利
1000026,10,10,2,war|all,armor|equip|consume,3,0,1,334,chest,47,1,resource,500001,10,召唤3个战争或全能（红色或白色）道具并获得1场胜利
1000027,10,10,2,fortune|balance,armor|equip|consume,3,0,1,334,chest,47,1,resource,500001,10,召唤3个命运或平衡（黄色或蓝色）道具并获得1场胜利
1000028,10,10,2,fortune|nature,armor|equip|consume,3,0,1,334,chest,47,1,resource,500001,10,召唤3个命运或自然（黄色或绿色）道具并获得1场胜利
1000029,10,10,2,fortune|chaos,armor|equip|consume,3,0,1,334,chest,47,1,resource,500001,10,召唤3个命运或混乱（黄色或紫色）道具并获得1场胜利
1000030,10,10,2,fortune|all,armor|equip|consume,3,0,1,334,chest,47,1,resource,500001,10,召唤3个命运或全能（黄色或白色）道具并获得1场胜利
1000031,10,10,2,balance|nature,armor|equip|consume,3,0,1,334,chest,47,1,resource,500001,10,召唤3个平衡或自然（蓝色或绿色）道具并获得1场胜利
1000032,10,10,2,balance|chaos,armor|equip|consume,3,0,1,334,chest,47,1,resource,500001,10,召唤3个平衡或混乱（蓝色或紫色）道具并获得1场胜利
1000033,10,10,2,balance|all,armor|equip|consume,3,0,1,334,chest,47,1,resource,500001,10,召唤3个平衡或全能（蓝色或紫色）道具并获得1场胜利
1000034,10,10,2,nature|chaos,armor|equip|consume,3,0,1,334,chest,47,1,resource,500001,10,召唤3个自然或混乱（绿色或紫色）道具并获得1场胜利
1000035,10,10,2,nature|all,armor|equip|consume,3,0,1,334,chest,47,1,resource,500001,10,召唤3个自然或全能（绿色或白色）道具并获得1场胜利
1000036,10,10,2,chaos|all,armor|equip|consume,3,0,1,334,chest,47,1,resource,500001,10,召唤3个混乱或全能（紫色或白色）道具并获得1场胜利
1000037,10,10,2,war,monster|armor|equip|consume,4,0,1,334,chest,47,1,resource,500001,10,召唤4个战争（红色）卡片并获得1场胜利
1000038,10,10,2,fortune,monster|armor|equip|consume,4,0,1,334,chest,47,1,resource,500001,10,召唤4个命运（黄色）卡片并获得1场胜利
1000039,10,10,2,balance,monster|armor|equip|consume,4,0,1,334,chest,47,1,resource,500001,10,召唤4个平衡（蓝色）卡片并获得1场胜利
1000040,10,10,2,nature,monster|armor|equip|consume,4,0,1,334,chest,47,1,resource,500001,10,召唤4个自然（绿色）卡片并获得1场胜利
1000041,10,10,2,chaos,monster|armor|equip|consume,4,0,1,334,chest,47,1,resource,500001,10,召唤4个混乱（紫色）卡片并获得1场胜利
1000042,10,10,2,all,monster|armor|equip|consume,4,0,1,334,chest,47,1,resource,500001,10,召唤4个全能（白色）卡片并获得1场胜利
1000043,10,10,2,war|fortune,monster|armor|equip|consume,5,0,1,334,chest,47,1,resource,500001,10,召唤5个战争或命运（红色或黄色）卡片并获得1场胜利
1000044,10,10,2,war|balance,monster|armor|equip|consume,5,0,1,334,chest,47,1,resource,500001,10,召唤5个战争或平衡（红色或蓝色）卡片并获得1场胜利
1000045,10,10,2,war|nature,monster|armor|equip|consume,5,0,1,334,chest,47,1,resource,500001,10,召唤5个战争或自然（红色或绿色）卡片并获得1场胜利
1000046,10,10,2,war|chaos,monster|armor|equip|consume,5,0,1,334,chest,47,1,resource,500001,10,召唤5个战争或混乱（红色或紫色）卡片并获得1场胜利
1000047,10,10,2,war|all,monster|armor|equip|consume,5,0,1,334,chest,47,1,resource,500001,10,召唤5个战争或全能（红色或白色）卡片并获得1场胜利
1000048,10,10,2,fortune|balance,monster|armor|equip|consume,5,0,1,334,chest,47,1,resource,500001,10,召唤3个命运或平衡（黄色或蓝色）卡片并获得1场胜利
1000049,10,10,2,fortune|nature,monster|armor|equip|consume,5,0,1,334,chest,47,1,resource,500001,10,召唤5个命运或自然（黄色或绿色）卡片并获得1场胜利
1000050,10,10,2,fortune|chaos,monster|armor|equip|consume,5,0,1,334,chest,47,1,resource,500001,10,召唤5个命运或混乱（黄色或紫色）卡片并获得1场胜利
1000051,10,10,2,fortune|all,monster|armor|equip|consume,5,0,1,334,chest,47,1,resource,500001,10,召唤5个命运或全能（黄色或白色）卡片并获得1场胜利
1000052,10,10,2,balance|nature,monster|armor|equip|consume,5,0,1,334,chest,47,1,resource,500001,10,召唤5个平衡或自然（蓝色或绿色）卡片并获得1场胜利
1000053,10,10,2,balance|chaos,monster|armor|equip|consume,5,0,1,334,chest,47,1,resource,500001,10,召唤5个平衡或混乱（蓝色或紫色）卡片并获得1场胜利
1000054,10,10,2,balance|all,monster|armor|equip|consume,5,0,1,334,chest,47,1,resource,500001,10,召唤5个平衡或全能（蓝色或紫色）卡片并获得1场胜利
1000055,10,10,2,nature|chaos,monster|armor|equip|consume,5,0,1,334,chest,47,1,resource,500001,10,召唤5个自然或混乱（绿色或紫色）卡片并获得1场胜利
1000056,10,10,2,nature|all,monster|armor|equip|consume,5,0,1,334,chest,47,1,resource,500001,10,召唤5个自然或全能（绿色或白色）卡片并获得1场胜利
1000057,10,10,2,chaos|all,monster|armor|equip|consume,5,0,1,334,chest,47,1,resource,500001,10,召唤5个混乱或全能（紫色或白色）卡片并获得1场胜利
1000058,10,10,3,0,0,0,0,1,14962,chest,47,1,resource,500001,10,赢得一场胜利
1000059,10,10,4,0,0,0,0,6,15000,chest,47,1,resource,500001,10,消灭6个怪物
1000060,10,10,5,0,0,0,0,6,15000,chest,47,1,resource,500001,10,使用6个道具
1000061,10,10,6,0,monster,2,2,4,1000,chest,47,1,resource,500001,10,召唤4个费用2以下的怪物（包含费用2）
1000062,10,10,6,0,monster,3,2,5,1000,chest,47,1,resource,500001,10,召唤5个费用3以下的怪物（包含费用3）
1000063,10,10,6,0,monster,4,2,6,1000,chest,47,1,resource,500001,10,召唤6个费用4以下的怪物（包含费用4）
1000064,10,10,6,0,monster,2,1,5,1000,chest,47,1,resource,500001,10,召唤5个费用2以上的怪物（包含费用2）
1000065,10,10,6,0,monster,3,1,4,1000,chest,47,1,resource,500001,10,召唤4个费用3以上的怪物（包含费用3）
1000066,10,10,6,0,monster,4,1,3,1000,chest,47,1,resource,500001,10,召唤3个费用4以上的怪物（包含费用4）
1000067,10,10,3,0,0,0,0,1,1000,chest,47,1,resource,500001,10,赢得一场胜利
1000068,10,10,6,0,armor|equip|consume,2,2,4,1000,chest,47,1,resource,500001,10,召唤4个费用2以下的道具（包含费用2）
1000069,10,10,6,0,armor|equip|consume,3,2,5,1000,chest,47,1,resource,500001,10,召唤5个费用3以下的道具（包含费用3）
1000070,10,10,6,0,armor|equip|consume,4,2,6,1000,chest,47,1,resource,500001,10,召唤6个费用4以下的道具（包含费用4）
1000071,10,10,6,0,armor|equip|consume,2,1,5,1000,chest,46,1,resource,500001,10,召唤5个费用2以上的道具（包含费用2）
1000072,10,10,6,0,armor|equip|consume,3,1,4,1000,chest,47,1,resource,500001,10,召唤4个费用3以上的道具（包含费用3）
1000073,10,10,6,0,armor|equip|consume,4,1,3,1000,chest,47,1,resource,500001,10,召唤3个费用4以上的道具（包含费用4）
1000074,10,10,3,0,0,0,0,1,1000,chest,47,1,resource,500001,10,赢得一场胜利
1000075,10,10,6,0,monster|armor|equip|consume,2,2,4,1000,chest,47,1,resource,500001,10,召唤4个费用2以下的卡片（包含费用2）
1000076,10,10,6,0,monster|armor|equip|consume,3,2,5,1000,chest,47,1,resource,500001,10,召唤5个费用3以下的卡片（包含费用3）
1000077,10,10,6,0,monster|armor|equip|consume,4,2,6,1000,chest,47,1,resource,500001,10,召唤6个费用4以下的卡片（包含费用4）
1000078,10,10,6,0,monster|armor|equip|consume,2,1,5,1000,chest,47,1,resource,500001,10,召唤5个费用2以上的卡片（包含费用2）
1000079,10,10,6,0,monster|armor|equip|consume,3,1,4,1000,chest,47,1,resource,500001,10,召唤4个费用3以上的卡片（包含费用3）
1000080,10,10,6,0,monster|armor|equip|consume,4,1,3,1000,chest,47,1,resource,500001,10,召唤3个费用4以上的卡片（包含费用4）
1000081,10,10,3,0,0,0,0,1,1000,chest,47,1,resource,500001,10,赢得一场胜利
1000082,10,10,8,0,0,0,0,2,15000,chest,47,1,resource,500001,10,完成2次PVE胜利
1100001,11,11,2,war,monster,2,0,1,334,chest,48,1,resource,500001,10,召唤2个战争（红色）怪物并获得1场胜利
1100002,11,11,2,fortune,monster,2,0,1,334,chest,48,1,resource,500001,10,召唤2个命运（黄色）怪物并获得1场胜利
1100003,11,11,2,balance,monster,2,0,1,334,chest,48,1,resource,500001,10,召唤2个平衡（蓝色）怪物并获得1场胜利
1100004,11,11,2,nature,monster,2,0,1,334,chest,48,1,resource,500001,10,召唤2个自然（绿色）怪物并获得1场胜利
1100005,11,11,2,chaos,monster,2,0,1,334,chest,48,1,resource,500001,10,召唤2个混乱（紫色）怪物并获得1场胜利
1100006,11,11,2,war|fortune,monster,3,0,1,334,chest,48,1,resource,500001,10,召唤3个战争或命运（红色或黄色）怪物并获得1场胜利
1100007,11,11,2,war|balance,monster,3,0,1,334,chest,48,1,resource,500001,10,召唤3个战争或平衡（红色或蓝色）怪物并获得1场胜利
1100008,11,11,2,war|nature,monster,3,0,1,334,chest,48,1,resource,500001,10,召唤3个战争或自然（红色或绿色）怪物并获得1场胜利
1100009,11,11,2,war|chaos,monster,3,0,1,334,chest,48,1,resource,500001,10,召唤3个战争或混乱（红色或紫色）怪物并获得1场胜利
1100010,11,11,2,fortune|balance,monster,3,0,1,334,chest,48,1,resource,500001,10,召唤3个命运或平衡（黄色或蓝色）怪物并获得1场胜利
1100011,11,11,2,fortune|nature,monster,3,0,1,334,chest,48,1,resource,500001,10,召唤3个命运或自然（黄色或绿色）怪物并获得1场胜利
1100012,11,11,2,fortune|chaos,monster,3,0,1,334,chest,48,1,resource,500001,10,召唤3个命运或混乱（黄色或紫色）怪物并获得1场胜利
1100013,11,11,2,balance|nature,monster,3,0,1,334,chest,48,1,resource,500001,10,召唤3个平衡或自然（蓝色或绿色）怪物并获得1场胜利
1100014,11,11,2,balance|chaos,monster,3,0,1,334,chest,48,1,resource,500001,10,召唤3个平衡或混乱（蓝色或紫色）怪物并获得1场胜利
1100015,11,11,2,nature|chaos,monster,3,0,1,334,chest,48,1,resource,500001,10,召唤3个自然或混乱（绿色或紫色）怪物并获得1场胜利
1100016,11,11,2,war,armor|equip|consume,2,0,1,334,chest,48,1,resource,500001,10,召唤2个战争（红色）道具并获得1场胜利
1100017,11,11,2,fortune,armor|equip|consume,2,0,1,334,chest,48,1,resource,500001,10,召唤2个命运（黄色）道具并获得1场胜利
1100018,11,11,2,balance,armor|equip|consume,2,0,1,334,chest,48,1,resource,500001,10,召唤2个平衡（蓝色）道具并获得1场胜利
1100019,11,11,2,nature,armor|equip|consume,2,0,1,334,chest,48,1,resource,500001,10,召唤2个自然（绿色）道具并获得1场胜利
1100020,11,11,2,chaos,armor|equip|consume,2,0,1,334,chest,48,1,resource,500001,10,召唤2个混乱（紫色）道具并获得1场胜利
1100021,11,11,2,all,armor|equip|consume,2,0,1,334,chest,48,1,resource,500001,10,召唤2个全能（白色）道具并获得1场胜利
1100022,11,11,2,war|fortune,armor|equip|consume,3,0,1,334,chest,48,1,resource,500001,10,召唤3个战争或命运（红色或黄色）道具并获得1场胜利
1100023,11,11,2,war|balance,armor|equip|consume,3,0,1,334,chest,48,1,resource,500001,10,召唤3个战争或平衡（红色或蓝色）道具并获得1场胜利
1100024,11,11,2,war|nature,armor|equip|consume,3,0,1,334,chest,48,1,resource,500001,10,召唤3个战争或自然（红色或绿色）道具并获得1场胜利
1100025,11,11,2,war|chaos,armor|equip|consume,3,0,1,334,chest,48,1,resource,500001,10,召唤3个战争或混乱（红色或紫色）道具并获得1场胜利
1100026,11,11,2,war|all,armor|equip|consume,3,0,1,334,chest,48,1,resource,500001,10,召唤3个战争或全能（红色或白色）道具并获得1场胜利
1100027,11,11,2,fortune|balance,armor|equip|consume,3,0,1,334,chest,48,1,resource,500001,10,召唤3个命运或平衡（黄色或蓝色）道具并获得1场胜利
1100028,11,11,2,fortune|nature,armor|equip|consume,3,0,1,334,chest,48,1,resource,500001,10,召唤3个命运或自然（黄色或绿色）道具并获得1场胜利
1100029,11,11,2,fortune|chaos,armor|equip|consume,3,0,1,334,chest,48,1,resource,500001,10,召唤3个命运或混乱（黄色或紫色）道具并获得1场胜利
1100030,11,11,2,fortune|all,armor|equip|consume,3,0,1,334,chest,48,1,resource,500001,10,召唤3个命运或全能（黄色或白色）道具并获得1场胜利
1100031,11,11,2,balance|nature,armor|equip|consume,3,0,1,334,chest,48,1,resource,500001,10,召唤3个平衡或自然（蓝色或绿色）道具并获得1场胜利
1100032,11,11,2,balance|chaos,armor|equip|consume,3,0,1,334,chest,48,1,resource,500001,10,召唤3个平衡或混乱（蓝色或紫色）道具并获得1场胜利
1100033,11,11,2,balance|all,armor|equip|consume,3,0,1,334,chest,48,1,resource,500001,10,召唤3个平衡或全能（蓝色或紫色）道具并获得1场胜利
1100034,11,11,2,nature|chaos,armor|equip|consume,3,0,1,334,chest,48,1,resource,500001,10,召唤3个自然或混乱（绿色或紫色）道具并获得1场胜利
1100035,11,11,2,nature|all,armor|equip|consume,3,0,1,334,chest,48,1,resource,500001,10,召唤3个自然或全能（绿色或白色）道具并获得1场胜利
1100036,11,11,2,chaos|all,armor|equip|consume,3,0,1,334,chest,48,1,resource,500001,10,召唤3个混乱或全能（紫色或白色）道具并获得1场胜利
1100037,11,11,2,war,monster|armor|equip|consume,4,0,1,334,chest,48,1,resource,500001,10,召唤4个战争（红色）卡片并获得1场胜利
1100038,11,11,2,fortune,monster|armor|equip|consume,4,0,1,334,chest,48,1,resource,500001,10,召唤4个命运（黄色）卡片并获得1场胜利
1100039,11,11,2,balance,monster|armor|equip|consume,4,0,1,334,chest,48,1,resource,500001,10,召唤4个平衡（蓝色）卡片并获得1场胜利
1100040,11,11,2,nature,monster|armor|equip|consume,4,0,1,334,chest,48,1,resource,500001,10,召唤4个自然（绿色）卡片并获得1场胜利
1100041,11,11,2,chaos,monster|armor|equip|consume,4,0,1,334,chest,48,1,resource,500001,10,召唤4个混乱（紫色）卡片并获得1场胜利
1100042,11,11,2,all,monster|armor|equip|consume,4,0,1,334,chest,48,1,resource,500001,10,召唤4个全能（白色）卡片并获得1场胜利
